MIDAS,LAKE,BASIN,SAMPDATE,AGENCY,DEPTH,TYPE,PH,COLOR,CONDUCT,ALK
98,NARROWS P (UPPER),1,1998-07-24,CW,5,C,6.8,999,99999,17.5
98,NARROWS P (UPPER),1,2000-05-22,CW,5,C,7,999,99999,13.5
98,NARROWS P (UPPER),1,2000-06-23,CW,6,C,6.8,999,99999,14.5
98,NARROWS P (UPPER),1,2000-07-26,CW,6,C,7,999,99999,12.5
98,NARROWS P (UPPER),1,2000-08-29,CW,7,C,6.8,999,99999,14
98,NARROWS P (UPPER),1,2000-09-25,CW,6,C,6.9,999,99999,14
98,NARROWS P (UPPER),1,2000-10-23,CW,10,C,6.9,999,99999,15
98,NARROWS P (UPPER),1,2001-09-11,CW,7,C,7,999,99999,14.5
98,NARROWS P (UPPER),1,2002-04-24,CW,5,C,6.8,999,99999,14.9
98,NARROWS P (UPPER),1,2002-05-17,CW,10,C,7.1,999,99999,15.2
98,NARROWS P (UPPER),1,2002-05-31,CW,4,C,7.2,999,99999,14.5
98,NARROWS P (UPPER),1,2002-06-14,CW,7,C,6.8,999,99999,15.1
98,NARROWS P (UPPER),1,2002-07-02,CW,3,C,6.8,999,99999,15.3
98,NARROWS P (UPPER),1,2002-07-18,CW,4,C,7.1,999,99999,16.1
98,NARROWS P (UPPER),1,2002-08-07,CW,6,C,7.2,999,99999,14.8
98,NARROWS P (UPPER),1,2002-08-23,CW,5,C,7.1,999,99999,15
98,NARROWS P (UPPER),1,2002-09-06,CW,7,C,6.9,999,99999,14.8
98,NARROWS P (UPPER),1,2002-10-04,CW,7,C,6.9,999,99999,14.7
98,NARROWS P (UPPER),1,2002-10-21,CW,10,C,6.9,999,99999,15.1
98,NARROWS P (UPPER),1,2002-11-12,CW,10,C,7,999,99999,15.2
98,NARROWS P (UPPER),1,2003-06-23,CW,5,C,7.2,15,99999,17.9
98,NARROWS P (UPPER),1,2003-07-28,CW,6,C,7.2,17,99999,19.2
98,NARROWS P (UPPER),1,2003-08-27,CW,7,C,7,12,99999,20
98,NARROWS P (UPPER),1,2003-09-29,CW,7,C,7,15,99999,18
98,NARROWS P (UPPER),1,2003-10-24,CW,10,C,7.1,16,99999,18.5
98,NARROWS P (UPPER),1,2006-06-07,CW,3,C,7,999,99999,17
98,NARROWS P (UPPER),1,2006-07-06,CW,5,C,6.8,999,99999,21
98,NARROWS P (UPPER),1,2006-08-03,CW,3,C,6.9,999,99999,19.5
98,NARROWS P (UPPER),1,2006-09-05,CW,5,C,7.1,999,99999,18
98,NARROWS P (UPPER),1,2006-10-09,CW,7,C,6.7,999,99999,20
98,NARROWS P (UPPER),1,2009-05-20,CW,5,C,99.99,999,99999,18
98,NARROWS P (UPPER),1,2009-06-11,CW,5,C,99.99,999,99999,19.5
98,NARROWS P (UPPER),1,2009-07-14,CW,5,C,99.99,999,99999,20.5
98,NARROWS P (UPPER),1,2009-08-10,CW,6,C,99.99,999,99999,21
98,NARROWS P (UPPER),1,2009-09-30,CW,6,C,99.99,999,99999,21
98,NARROWS P (UPPER),1,2009-10-29,CW,10,C,99.99,999,99999,20
