MIDAS,LAKE,BASIN,SAMPDATE,AGENCY,PROJECT,DEPTH,TEMP,OXYGEN,OXYMETH,Meter,Calib
9961,ANNABESSACOOK L,1,5/27/2021,CW,3,0,19.6,9.4,M,,
9961,ANNABESSACOOK L,1,5/27/2021,CW,3,1,19.6,9.3,M,,
9961,ANNABESSACOOK L,1,5/27/2021,CW,3,2,19.6,9.4,M,,
9961,ANNABESSACOOK L,1,5/27/2021,CW,3,3,19.6,9.4,M,,
9961,ANNABESSACOOK L,1,5/27/2021,CW,3,4,19.3,9.4,M,,
9961,ANNABESSACOOK L,1,5/27/2021,CW,3,5,18.7,9.4,M,,
9961,ANNABESSACOOK L,1,5/27/2021,CW,3,6,15.3,8.5,M,,
9961,ANNABESSACOOK L,1,5/27/2021,CW,3,7,14.8,8,M,,
9961,ANNABESSACOOK L,1,5/27/2021,CW,3,8,13.3,6.3,M,,
9961,ANNABESSACOOK L,1,5/27/2021,CW,3,9,12.9,5,M,,
9961,ANNABESSACOOK L,1,5/27/2021,CW,3,10,12.7,4.7,M,,
9961,ANNABESSACOOK L,1,5/27/2021,CW,3,11,12.6,4.4,M,,
9961,ANNABESSACOOK L,1,5/27/2021,CW,3,12,12.6,4.2,M,,
9961,ANNABESSACOOK L,1,5/27/2021,CW,3,13,12.4,3,M,,
9961,ANNABESSACOOK L,1,5/28/2021,EI,3,,,,,,
9961,ANNABESSACOOK L,1,6/4/2021,EI,3,,,,,,
9961,ANNABESSACOOK L,1,6/12/2021,EI,3,,,,,,
9961,ANNABESSACOOK L,1,6/23/2021,CW,3,0,22.9,8.4,M,,
9961,ANNABESSACOOK L,1,6/23/2021,CW,3,1,22.9,8.4,M,,
9961,ANNABESSACOOK L,1,6/23/2021,CW,3,2,22.8,8.4,M,,
9961,ANNABESSACOOK L,1,6/23/2021,CW,3,3,22.8,8.4,M,,
9961,ANNABESSACOOK L,1,6/23/2021,CW,3,4,22.7,8.4,M,,
9961,ANNABESSACOOK L,1,6/23/2021,CW,3,5,21.5,7.1,M,,
9961,ANNABESSACOOK L,1,6/23/2021,CW,3,6,19.8,6.2,M,,
9961,ANNABESSACOOK L,1,6/23/2021,CW,3,7,17.5,3.9,M,,
9961,ANNABESSACOOK L,1,6/23/2021,CW,3,8,15.7,1.8,M,,
9961,ANNABESSACOOK L,1,6/23/2021,CW,3,9,14.3,0.7,M,,
9961,ANNABESSACOOK L,1,6/23/2021,CW,3,10,13.9,0.3,M,,
9961,ANNABESSACOOK L,1,6/23/2021,CW,3,11,13.4,0.2,M,,
9961,ANNABESSACOOK L,1,6/23/2021,CW,3,12,13,0.2,M,,
9961,ANNABESSACOOK L,1,6/23/2021,CW,3,13,12.9,0.2,M,,
9961,ANNABESSACOOK L,1,7/1/2021,EI,3,,,,,,
9961,ANNABESSACOOK L,1,7/11/2021,EI,3,,,,,,
9961,ANNABESSACOOK L,1,7/27/2021,EI,3,,,,,,
9961,ANNABESSACOOK L,1,7/27/2021,CW,3,0,24.9,9.3,M,,
9961,ANNABESSACOOK L,1,7/27/2021,CW,3,1,24.5,9.4,M,,
9961,ANNABESSACOOK L,1,7/27/2021,CW,3,2,23.4,9.6,M,,
9961,ANNABESSACOOK L,1,7/27/2021,CW,3,3,23.2,9.6,M,,
9961,ANNABESSACOOK L,1,7/27/2021,CW,3,4,23.1,9.5,M,,
9961,ANNABESSACOOK L,1,7/27/2021,CW,3,5,22.2,5.9,M,,
9961,ANNABESSACOOK L,1,7/27/2021,CW,3,5.5,21.4,4,M,,
9961,ANNABESSACOOK L,1,7/27/2021,CW,3,6,21,3.2,M,,
9961,ANNABESSACOOK L,1,7/27/2021,CW,3,7,19.7,1.1,M,,
9961,ANNABESSACOOK L,1,7/27/2021,CW,3,7.5,19.1,0.3,M,,
9961,ANNABESSACOOK L,1,7/27/2021,CW,3,8,18.2,0.3,M,,
9961,ANNABESSACOOK L,1,7/27/2021,CW,3,9,15.8,0.3,M,,
9961,ANNABESSACOOK L,1,7/27/2021,CW,3,10,14.5,0.3,M,,
9961,ANNABESSACOOK L,1,7/27/2021,CW,3,11,13.5,0.3,M,,
9961,ANNABESSACOOK L,1,7/27/2021,CW,3,12,13.3,0.4,M,,
9961,ANNABESSACOOK L,1,7/27/2021,CW,3,13,13.1,0.4,M,,
9961,ANNABESSACOOK L,1,8/8/2021,EI,3,,,,,,
9961,ANNABESSACOOK L,1,8/9/2021,CW,3,0,25,10,M,,
9961,ANNABESSACOOK L,1,8/9/2021,CW,3,1,24.9,10,M,,
9961,ANNABESSACOOK L,1,8/9/2021,CW,3,2,24.8,10.1,M,,
9961,ANNABESSACOOK L,1,8/9/2021,CW,3,3,24.5,10.2,M,,
9961,ANNABESSACOOK L,1,8/9/2021,CW,3,4,22.5,8.9,M,,
9961,ANNABESSACOOK L,1,8/9/2021,CW,3,5,22.1,7.3,M,,
9961,ANNABESSACOOK L,1,8/9/2021,CW,3,6,21.7,5.1,M,,
9961,ANNABESSACOOK L,1,8/9/2021,CW,3,7,20.7,2.3,M,,
9961,ANNABESSACOOK L,1,8/9/2021,CW,3,8,18.7,0.2,M,,
9961,ANNABESSACOOK L,1,8/9/2021,CW,3,9,16.2,0.3,M,,
9961,ANNABESSACOOK L,1,8/9/2021,CW,3,10,15,0.3,M,,
9961,ANNABESSACOOK L,1,8/9/2021,CW,3,11,14.1,0.3,M,,
9961,ANNABESSACOOK L,1,8/9/2021,CW,3,12,13.4,0.3,M,,
9961,ANNABESSACOOK L,1,8/9/2021,CW,3,13,13.2,0.3,M,,
9961,ANNABESSACOOK L,1,8/25/2021,CW,3,0,27.1,9.7,M,,
9961,ANNABESSACOOK L,1,8/25/2021,CW,3,1,25.7,10.5,M,,
9961,ANNABESSACOOK L,1,8/25/2021,CW,3,2,25.3,10.7,M,,
9961,ANNABESSACOOK L,1,8/25/2021,CW,3,3,25,10.1,M,,
9961,ANNABESSACOOK L,1,8/25/2021,CW,3,4,24.4,8.2,M,,
9961,ANNABESSACOOK L,1,8/25/2021,CW,3,4.5,23.7,6.1,M,,
9961,ANNABESSACOOK L,1,8/25/2021,CW,3,5,22.6,3,M,,
9961,ANNABESSACOOK L,1,8/25/2021,CW,3,6,21.3,0.5,M,,
9961,ANNABESSACOOK L,1,8/25/2021,CW,3,7,20.4,0.3,M,,
9961,ANNABESSACOOK L,1,8/25/2021,CW,3,8,19,0.4,M,,
9961,ANNABESSACOOK L,1,8/25/2021,CW,3,9,16.7,0.4,M,,
9961,ANNABESSACOOK L,1,8/25/2021,CW,3,10,15.1,0.5,M,,
9961,ANNABESSACOOK L,1,8/25/2021,CW,3,11,13.9,0.6,M,,
9961,ANNABESSACOOK L,1,8/25/2021,CW,3,12,13.6,0.7,M,,
9961,ANNABESSACOOK L,1,8/25/2021,CW,3,13,13.4,0.7,M,,
9961,ANNABESSACOOK L,1,9/6/2021,EI,3,,,,,,
9961,ANNABESSACOOK L,1,9/14/2021,CW,3,0,22.9,8.9,M,,
9961,ANNABESSACOOK L,1,9/14/2021,CW,3,1,21.8,9.3,M,,
9961,ANNABESSACOOK L,1,9/14/2021,CW,3,2,21.5,9.4,M,,
9961,ANNABESSACOOK L,1,9/14/2021,CW,3,3,21.1,8.8,M,,
9961,ANNABESSACOOK L,1,9/14/2021,CW,3,4,21,8.5,M,,
9961,ANNABESSACOOK L,1,9/14/2021,CW,3,5,21,8.2,M,,
9961,ANNABESSACOOK L,1,9/14/2021,CW,3,6,20.9,8.3,M,,
9961,ANNABESSACOOK L,1,9/14/2021,CW,3,7,20.8,8,M,,
9961,ANNABESSACOOK L,1,9/14/2021,CW,3,8,20.6,6.5,M,,
9961,ANNABESSACOOK L,1,9/14/2021,CW,3,9,17.4,0.3,M,,
9961,ANNABESSACOOK L,1,9/14/2021,CW,3,10,14.9,0.3,M,,
9961,ANNABESSACOOK L,1,9/14/2021,CW,3,11,14.2,0.3,M,,
9961,ANNABESSACOOK L,1,9/14/2021,CW,3,12,13.8,0.3,M,,
9961,ANNABESSACOOK L,1,9/14/2021,CW,3,13,13.6,0.3,M,,
9961,ANNABESSACOOK L,1,9/25/2021,EI,3,,,,,,
9961,ANNABESSACOOK L,1,10/6/2021,CW,3,0,20.7,9,M,,
9961,ANNABESSACOOK L,1,10/6/2021,CW,3,1,18.4,9,M,,
9961,ANNABESSACOOK L,1,10/6/2021,CW,3,2,18,8.6,M,,
9961,ANNABESSACOOK L,1,10/6/2021,CW,3,3,18,8,M,,
9961,ANNABESSACOOK L,1,10/6/2021,CW,3,4,17.9,7.7,M,,
9961,ANNABESSACOOK L,1,10/6/2021,CW,3,5,17.9,7.2,M,,
9961,ANNABESSACOOK L,1,10/6/2021,CW,3,6,17.9,6.9,M,,
9961,ANNABESSACOOK L,1,10/6/2021,CW,3,7,17.8,6.7,M,,
9961,ANNABESSACOOK L,1,10/6/2021,CW,3,8,17.7,6.2,M,,
9961,ANNABESSACOOK L,1,10/6/2021,CW,3,9,17.5,5.6,M,,
9961,ANNABESSACOOK L,1,10/6/2021,CW,3,10,17.1,2.8,M,,
9961,ANNABESSACOOK L,1,10/6/2021,CW,3,10.5,15.2,0.4,M,,
9961,ANNABESSACOOK L,1,10/6/2021,CW,3,11,14.4,0.4,M,,
9961,ANNABESSACOOK L,1,10/6/2021,CW,3,12,13.8,0.5,M,,
