MIDAS,LAKE,BASIN,SAMPDATE,AGENCY,DEPTH,TEMP,OXYGEN,OXYMETH
9961,ANNABESSACOOK L,1,5/20/1998,CW,0,19.5,9.8,M
9961,ANNABESSACOOK L,1,5/20/1998,CW,1,18,10.2,M
9961,ANNABESSACOOK L,1,5/20/1998,CW,2,18,10,M
9961,ANNABESSACOOK L,1,5/20/1998,CW,3,17.8,10,M
9961,ANNABESSACOOK L,1,5/20/1998,CW,4,17.2,9.9,M
9961,ANNABESSACOOK L,1,5/20/1998,CW,5,15.8,9.3,M
9961,ANNABESSACOOK L,1,5/20/1998,CW,6,13.5,8.2,M
9961,ANNABESSACOOK L,1,5/20/1998,CW,7,12.9,7.4,M
9961,ANNABESSACOOK L,1,5/20/1998,CW,8,12,6.4,M
9961,ANNABESSACOOK L,1,5/20/1998,CW,9,11.5,6.6,M
9961,ANNABESSACOOK L,1,5/20/1998,CW,10,11,5.4,M
9961,ANNABESSACOOK L,1,5/20/1998,CW,11,10.5,5.1,M
9961,ANNABESSACOOK L,1,5/20/1998,CW,12,10.1,4.4,M
9961,ANNABESSACOOK L,1,5/20/1998,CW,13,10.1,3.9,M
9961,ANNABESSACOOK L,1,6/22/1998,CW,0,21.3,9,M
9961,ANNABESSACOOK L,1,6/22/1998,CW,1,21.1,9.1,M
9961,ANNABESSACOOK L,1,6/22/1998,CW,2,21,9.3,M
9961,ANNABESSACOOK L,1,6/22/1998,CW,3,18,7.5,M
9961,ANNABESSACOOK L,1,6/22/1998,CW,4,17.5,7.1,m
9961,ANNABESSACOOK L,1,6/22/1998,CW,5,17,6.6,M
9961,ANNABESSACOOK L,1,6/22/1998,CW,6,16.8,6.2,M
9961,ANNABESSACOOK L,1,6/22/1998,CW,7,16.4,5.7,M
9961,ANNABESSACOOK L,1,6/22/1998,CW,8,16,5.3,M
9961,ANNABESSACOOK L,1,6/22/1998,CW,9,16,4.9,M
9961,ANNABESSACOOK L,1,6/22/1998,CW,10,15.6,4,M
9961,ANNABESSACOOK L,1,6/22/1998,CW,11,16.1,3.1,M
9961,ANNABESSACOOK L,1,6/22/1998,CW,12,13.5,0.4,M
9961,ANNABESSACOOK L,1,6/22/1998,CW,13,12.5,0.3,M
9961,ANNABESSACOOK L,1,7/22/1998,CW,0,25,8.1,M
9961,ANNABESSACOOK L,1,7/22/1998,CW,1,25,8.1,M
9961,ANNABESSACOOK L,1,7/22/1998,CW,2,25,8.1,M
9961,ANNABESSACOOK L,1,7/22/1998,CW,3,25,8.1,M
9961,ANNABESSACOOK L,1,7/22/1998,CW,4,22,8,M
9961,ANNABESSACOOK L,1,7/22/1998,CW,5,21,3.6,M
9961,ANNABESSACOOK L,1,7/22/1998,CW,6,18.5,1,M
9961,ANNABESSACOOK L,1,7/22/1998,CW,7,16.9,0.4,M
9961,ANNABESSACOOK L,1,7/22/1998,CW,8,15.8,0.4,M
9961,ANNABESSACOOK L,1,7/22/1998,CW,9,15,0.4,M
9961,ANNABESSACOOK L,1,7/22/1998,CW,10,14.7,0.4,M
9961,ANNABESSACOOK L,1,7/22/1998,CW,11,14.5,0.4,M
9961,ANNABESSACOOK L,1,7/22/1998,CW,12,13.9,0.4,M
9961,ANNABESSACOOK L,1,8/21/1998,CW,0,23.5,8.1,M
9961,ANNABESSACOOK L,1,8/21/1998,CW,1,23.5,8.1,M
9961,ANNABESSACOOK L,1,8/21/1998,CW,2,23.5,8,M
9961,ANNABESSACOOK L,1,8/21/1998,CW,3,23.2,7.8,M
9961,ANNABESSACOOK L,1,8/21/1998,CW,4,23.1,7.8,M
