MIDAS,LAKE,BASIN,SAMPDATE,PROJECT,AGENCY,DEPTH,QACert,REP,BOTTOM,SCOPETYPE,SURVEYOR1,SURVEYOR2,SURVEYOR3,SURVEYOR4,WINDVEL,WINDDIR,Gloeo,CLOUDCVR,lat,long
3814,COCHNEWAGON P,1,5/20/2021,3,CW,6.52,BU-0773,1,N,4,"BURTON, RYAN","DENNIS, WENDY",,,7,6,,0,441356.1,700243.4
3814,COCHNEWAGON P,1,5/20/2021,3,CW,6.52,DE-0023,1,N,4,"BURTON, RYAN","DENNIS, WENDY",,,7,6,,0,441356.1,700243.4
5312,MARANACOOK L,2,5/20/2021,3,EI,3.8,DO-0532,1,N,4,"DODGE, EDWARD",,,,1,6,,0,0,0
5254,PLEASANT (MUD) P,1,5/21/2021,3,CW,5.05,BU-0773,1,N,4,"BURTON, RYAN","DENNIS, WENDY",,,10,3,,0,440905.7,695244
5254,PLEASANT (MUD) P,1,5/21/2021,3,CW,5,DE-0023,1,N,4,"BURTON, RYAN","DENNIS, WENDY",,,10,3,,0,440905.7,695244
5254,PLEASANT (MUD) P,3,5/21/2021,3,CW,4.18,DE-0023,1,Y,4,"BURTON, RYAN","DENNIS, WENDY",,,7,5,,0,440807.6,695317.7
5312,MARANACOOK L,2,5/23/2021,3,EI,4.2,DO-0532,1,N,4,"DODGE, EDWARD",,,,3,8,,0,0,0
5236,COBBOSSEECONTEE L,1,5/24/2021,3,CW,5.96,BU-0773,1,N,4,"BURTON, RYAN","DENNIS, WENDY",,,6,5,,0,441501.1,695634.1
5236,COBBOSSEECONTEE L,1,5/24/2021,3,CW,6.02,DE-0023,1,N,4,"BURTON, RYAN","DENNIS, WENDY",,,6,5,,0,441501.1,695634.1
5236,COBBOSSEECONTEE L,2,5/24/2021,3,CW,5.63,DE-0023,1,N,4,"BURTON, RYAN","DENNIS, WENDY",,,11,5,,0,441901.7,695257.3
5236,COBBOSSEECONTEE L,2,5/24/2021,3,CW,5.64,BU-0773,1,N,4,"BURTON, RYAN","DENNIS, WENDY",,,11,5,,0,441901.7,695257.3
3830,DEXTER P,1,5/25/2021,3,CW,7.04,BU-0773,1,N,4,"Burton, Ryan","Dennis, Wendy",,,8,6,,0,441858.8,700154.1
3830,DEXTER P,1,5/25/2021,3,CW,6.8,DE-0023,1,N,4,"Burton, Ryan","Dennis, Wendy",,,8,6,,0,441858.8,700154.1
3832,WILSON P,1,5/25/2021,3,CW,6.92,BU-0773,1,N,4,"Burton, Ryan","Dennis, Wendy",,,11,5,,0,441702.7,700246.6
3832,WILSON P,1,5/25/2021,3,CW,6.84,DE-0023,1,N,4,"Burton, Ryan","Dennis, Wendy",,,11,5,,0,441702.7,700246.6
3828,BERRY P,1,5/26/2021,3,CW,6.48,DE-0023,1,N,4,"BURTON, RYAN","DENNIS, WENDY",,,12,5,,0,44200.6,700119.7
5307,TORSEY (GREELEY) P,1,5/26/2021,3,CW,5.98,DE-0023,1,N,4,"Burton, Ryan","Dennis, Wendy",,,9,6,,0,442545,695844.9
5307,TORSEY (GREELEY) P,1,5/26/2021,3,CW,6.08,BU-0773,1,N,4,"Burton, Ryan","Dennis, Wendy",,,9,6,,0,442545,695844.9
9961,ANNABESSACOOK L,1,5/27/2021,3,CW,4.92,BU-0773,1,N,4,"Burton, Ryan","Dennis, Wendy",,,11,8,,0,441541.8,695919.7
9961,ANNABESSACOOK L,2,5/27/2021,3,CW,4,DE-0023,1,N,4,"BURTON, RYAN","DENNIS, WENDY",,,12,1,,0,441721.6,695831.9
9961,ANNABESSACOOK L,1,5/27/2021,3,CW,4.78,DE-0023,1,N,4,"Burton, Ryan","Dennis, Wendy",,,11,8,,0,441541.8,695919.7
9961,ANNABESSACOOK L,1,5/28/2021,3,EI,4.6,BE-0780,1,N,4,"Becker, Michael",,,,10,8,,2,0,0
3814,COCHNEWAGON P,1,6/2/2021,3,CW,6.09,DE-0023,1,N,4,"BURTON, RYAN","DENNIS, WENDY",,,3,5,,0,441356.4,700243.4
9961,ANNABESSACOOK L,2,6/4/2021,3,EI,5.75,BE-0780,1,N,4,"BECKER, MICHAEL",,,,5,7,,0,0,0
9961,ANNABESSACOOK L,1,6/4/2021,3,EI,5.55,BE-0780,1,N,4,"Becker, Michael",,,,2,7,,0,0,0
5312,MARANACOOK L,2,6/6/2021,3,EI,5,DO-0532,1,N,4,"DODGE, EDWARD",,,,3,6,,0,0,0
5312,MARANACOOK L,2,6/6/2021,3,EI,5,DO0532,1,N,4,"DODGE, EDWARD",,,,2,8,,0,0,0
5312,MARANACOOK L,1,6/8/2021,3,CW,6.94,BU-0773,1,N,4,"BURTON, RYAN","DENNIS, WENDY",,,3,6,,1,441915,695801.3
5312,MARANACOOK L,1,6/8/2021,3,CW,6.79,DE-0023,1,N,4,"BURTON, RYAN","DENNIS, WENDY",,,3,6,,1,441915,695801.3
5312,MARANACOOK L,2,6/8/2021,3,CW,5.26,DE-0023,1,N,4,"BURTON, RYAN","DENNIS, WENDY",,,3,6,,1,0,0
5312,MARANACOOK L,2,6/8/2021,3,CW,5.31,BU-0773,1,N,4,"BURTON, RYAN","DENNIS, WENDY",,,3,6,,1,0,0
103,NARROWS P (LOWER),1,6/9/2021,3,CW,6.16,BU-0773,1,N,4,"BURTON, RYAN","DENNIS, WENDY",,,1,6,,0,441719.2,695706.9
103,NARROWS P (LOWER),1,6/9/2021,3,CW,6.17,DE-0023,1,N,4,"BURTON, RYAN","DENNIS, WENDY",,,1,6,,0,441719.2,695706.9
3830,DEXTER P,1,6/10/2021,3,CW,6.1,DE-0023,1,N,4,"Burton, Ryan","Dennis, Wendy",,,1,1,,0,441858,700154.1
3832,WILSON P,1,6/10/2021,3,CW,6.58,BU-0773,1,N,4,"Burton, Ryan","Dennis, Wendy",,,6,1,,0,441701.9,700247.2
3830,DEXTER P,1,6/10/2021,3,CW,6.3,BU-0773,1,N,4,"Burton, Ryan","Dennis, Wendy",,,1,1,,0,441858,700154.1
3832,WILSON P,1,6/10/2021,3,CW,6.64,DE-0023,1,N,4,"Burton, Ryan","Dennis, Wendy",,,6,1,,0,441701.9,700247.2
5310,CARLTON P,1,6/11/2021,3,CW,5.95,BU-0773,1,N,4,"BURTON, RYAN","DENNIS, WENDY",,,8,6,,2,442051.1,695427.7
5310,CARLTON P,1,6/11/2021,3,CW,5.84,DE-0023,1,N,4,"BURTON, RYAN","DENNIS, WENDY",,,8,6,,2,442051.1,695427.7
9961,ANNABESSACOOK L,1,6/12/2021,3,EI,6.66,BE-0780,1,N,4,"Becker, Michael",,,,0,0,,0,0,0
5312,MARANACOOK L,1,6/13/2021,3,EI,7.7,ME-2647,1,N,4,"GERSTEIN, SHELLY","METTEY, GALE",,,4,6,,1,0,0
