MIDAS,LAKE,BASIN,SAMPDATE,AGENCY,DEPTH,REP,SCOPETYPE,BOTTOM,SURVEYOR,QACERT,WINDVEL,WINDDIR,CLOUDCVR,LAT,LONG
9961,ANNABESSACOOK L,1,5/20/1998,CW,5.2,1,4,N,MARTIN,,11,5,0,,
9961,ANNABESSACOOK L,1,5/20/1998,CW,5.35,2,5,N,MARTIN,,11,5,0,,
9961,ANNABESSACOOK L,1,5/30/1998,EI,3.85,1,4,N,HUGHES,,5,4,1,,
9961,ANNABESSACOOK L,1,6/12/1998,EI,3.9,1,4,N,HUGHES,,8,2,2,,
9961,ANNABESSACOOK L,1,6/22/1998,CW,3.8,1,4,N,MARTIN EMERSON,,9,6,1,,
9961,ANNABESSACOOK L,1,6/22/1998,CW,3.8,2,5,N,MARTIN EMERSON,,9,6,1,,
9961,ANNABESSACOOK L,1,6/26/1998,EI,3.95,1,4,N,HUGHES,,7,6,1,,
9961,ANNABESSACOOK L,1,7/3/1998,EI,4.45,1,4,N,HUGHES,,2,5,0,,
9961,ANNABESSACOOK L,1,7/18/1998,EI,4.7,1,4,N,HUGHES,,2,5,0,,
9961,ANNABESSACOOK L,1,7/22/1998,CW,4.5,2,5,N,MARTIN,,2,5,1,,
9961,ANNABESSACOOK L,1,7/22/1998,CW,4.35,1,4,N,MARTIN,,2,5,1,,
9961,ANNABESSACOOK L,1,7/26/1998,EI,5,1,4,N,HUGHES,,2,8,0,,
9961,ANNABESSACOOK L,1,8/21/1998,CW,4.05,1,4,N,MARTIN MACDOUGALL,,5,7,1,,
9961,ANNABESSACOOK L,1,8/21/1998,CW,4.1,2,5,N,MARTIN MACDOUGALL,,5,7,1,,
9961,ANNABESSACOOK L,1,9/11/1998,CW,2.41,2,5,N,MARTIN,,3,8,0,,
9961,ANNABESSACOOK L,1,9/11/1998,CW,2.25,1,4,N,MARTIN,,3,8,0,,
9961,ANNABESSACOOK L,1,10/26/1998,CW,3.3,1,4,N,MARTIN,,1,8,0,,
9961,ANNABESSACOOK L,1,10/26/1998,CW,3.4,2,5,N,MARTIN,,1,8,0,,
9961,ANNABESSACOOK L,1,5/25/1999,CW,5.25,1,4,N,MARTIN,,5,6,1,,
9961,ANNABESSACOOK L,1,5/25/1999,CW,5.3,1,5,N,MARTIN,,5,6,1,,
9961,ANNABESSACOOK L,1,6/15/1999,CW,4.8,1,5,N,MARTIN,,5,8,0,,
9961,ANNABESSACOOK L,1,6/15/1999,CW,4.75,1,4,N,MARTIN,,5,8,0,,
9961,ANNABESSACOOK L,1,7/13/1999,CW,4.25,1,5,N,MARTIN,,1,5,2,,
9961,ANNABESSACOOK L,1,7/13/1999,CW,4.2,1,4,N,MARTIN,,1,5,2,,
9961,ANNABESSACOOK L,1,8/16/1999,CW,1.4,1,4,N,MARTIN,,2,8,0,,
9961,ANNABESSACOOK L,1,8/16/1999,CW,1.45,1,5,N,MARTIN,,2,8,0,,
9961,ANNABESSACOOK L,1,9/8/1999,CW,3.25,1,4,N,MARTIN,,4,5,1,,
9961,ANNABESSACOOK L,1,9/8/1999,CW,3.3,1,5,N,MARTIN,,4,5,1,,
9961,ANNABESSACOOK L,1,9/20/1999,CW,2.4,1,4,N,MARTIN,,6,6,1,,
9961,ANNABESSACOOK L,1,9/20/1999,CW,2.5,1,5,N,MARTIN,,6,6,1,,
9961,ANNABESSACOOK L,1,10/21/1999,CW,3.35,1,5,N,MARTIN,,5,7,1,,
9961,ANNABESSACOOK L,1,10/21/1999,CW,3.3,1,4,N,MARTIN,,5,7,1,,
9961,ANNABESSACOOK L,1,5/31/2000,CW,4.9,1,4,N,MARTIN,,7,5,0,,
9961,ANNABESSACOOK L,1,6/27/2000,CW,4.85,1,4,N,MARTIN,,2,6,1,,
9961,ANNABESSACOOK L,1,7/19/2000,CW,4.6,1,4,N,MARTIN,,7,8,0,,
9961,ANNABESSACOOK L,1,8/22/2000,CW,4.65,1,4,N,MARTIN,,0,7,0,,
9961,ANNABESSACOOK L,1,9/25/2000,CW,2.65,1,4,N,MARTIN,,4,8,0,,
9961,ANNABESSACOOK L,1,10/24/2000,CW,2.7,1,4,N,MARTIN,,1,4,0,,
9961,ANNABESSACOOK L,1,5/2/2001,CW,4.3,1,4,N,MARTIN,,3,7,0,,
9961,ANNABESSACOOK L,1,5/16/2001,CW,3.85,1,4,N,MARTIN,,11,1,2,,
9961,ANNABESSACOOK L,1,6/1/2001,CW,5,1,4,N,MARTIN,,0,9,0,,
9961,ANNABESSACOOK L,1,6/13/2001,CW,5.85,1,4,N,MARTIN,,1,4,0,,
9961,ANNABESSACOOK L,1,6/25/2001,CW,6.3,1,4,N,MARTIN,,1,5,0,,
9961,ANNABESSACOOK L,1,7/4/2001,El,6.1,1,4,N,BECKER,,0,0,0,,
9961,ANNABESSACOOK L,1,7/13/2001,CW,6.2,1,4,N,MARTIN,,5,6,0,,
9961,ANNABESSACOOK L,1,7/25/2001,CW,5.7,1,4,N,MARTIN,,3,7,0,,
9961,ANNABESSACOOK L,1,7/28/2001,El,6,1,4,N,BECKER,,2,8,0,,
9961,ANNABESSACOOK L,1,8/4/2001,El,6.9,1,4,N,BECKER,,5,2,0,,
9961,ANNABESSACOOK L,1,8/7/2001,CW,6,1,4,N,MARTIN,,1,7,1,,
9961,ANNABESSACOOK L,1,8/21/2001,CW,4.35,1,4,N,MARTIN,,0,9,1,,
9961,ANNABESSACOOK L,1,8/25/2001,El,3.28,1,4,N,BECKER,,2,2,0,,
9961,ANNABESSACOOK L,1,9/5/2001,CW,2.7,1,4,N,MARTIN,,30,1,0,,
9961,ANNABESSACOOK L,1,9/7/2001,El,2.4,1,4,N,BECKER,,4,5,0,,
9961,ANNABESSACOOK L,1,9/19/2001,CW,1.65,1,4,N,MARTIN,,3,1,2,,
9961,ANNABESSACOOK L,1,9/23/2001,El,2,1,4,N,BECKER,,0,0,0,,
9961,ANNABESSACOOK L,1,9/30/2001,El,1.95,1,4,N,BECKER,,7,2,0,,
9961,ANNABESSACOOK L,1,10/1/2001,CW,1.85,1,4,N,MARTIN,,8,5,1,,
9961,ANNABESSACOOK L,1,10/16/2001,CW,2.15,1,4,N,MARTIN,,10,5,0,,
9961,ANNABESSACOOK L,1,5/24/2002,CW,5.7,1,4,N,FREDENBURG,,2,4,0,,
9961,ANNABESSACOOK L,1,5/25/2002,EI,5.38,1,4,N,BECKER,,0,0,0,,
9961,ANNABESSACOOK L,1,6/7/2002,EI,6.05,1,4,N,BECKER,,7,5,1,,
9961,ANNABESSACOOK L,1,6/24/2002,CW,5.9,1,4,N,FREDENBURG,,9,8,0,,
9961,ANNABESSACOOK L,1,6/29/2002,EI,5.6,1,4,N,BECKER,,5,1,0,,
9961,ANNABESSACOOK L,1,7/5/2002,EI,6,1,4,N,BECKER,,5,1,2,,
9961,ANNABESSACOOK L,1,7/21/2002,EI,6.1,1,4,N,BECKER,,7,5,0,,
9961,ANNABESSACOOK L,1,7/23/2002,CW,5.8,1,4,N,FREDENBURG,,1,6,1,,
9961,ANNABESSACOOK L,1,8/3/2002,EI,5.5,1,4,N,BECKER,,4,4,0,,
9961,ANNABESSACOOK L,1,8/11/2002,EI,6,1,4,N,BECKER,,3,3,0,,
9961,ANNABESSACOOK L,1,8/25/2002,EI,5.1,1,4,N,BECKER,,2,5,0,,
9961,ANNABESSACOOK L,1,8/27/2002,CW,5.1,1,4,N,FREDENBURG,,11,1,0,,
9961,ANNABESSACOOK L,1,9/7/2002,EI,2.9,1,4,N,BECKER,,0,0,0,,
9961,ANNABESSACOOK L,1,9/18/2002,CW,3.55,1,4,N,FREDENBURG,,1,5,0,,
9961,ANNABESSACOOK L,1,9/22/2002,EI,3.3,1,4,N,BECKER,,4,4,1,,
9961,ANNABESSACOOK L,1,10/9/2002,CW,2.7,1,4,N,FREDENBURG,,2,2,0,,
9961,ANNABESSACOOK L,1,10/25/2002,CW,3.7,1,4,N,FREDENBURG,,0,0,0,,
9961,ANNABESSACOOK L,1,5/26/2003,CW,4.98,1,4,N,FREDENBURG FOLEY,FR-674,1,2,2,"44 15' 41""","69 59' 20"""
9961,ANNABESSACOOK L,1,5/31/2003,EI,4.6,1,4,N,BECKER,BE-780,0,0,0,,
9961,ANNABESSACOOK L,1,6/6/2003,EI,5.6,1,4,N,BECKER,BE-780,0,0,1,,
9961,ANNABESSACOOK L,1,6/21/2003,EI,5.6,1,4,N,BECKER,BE-780,0,0,0,,
9961,ANNABESSACOOK L,1,6/24/2003,CW,6.13,1,4,N,FREDENBURG FOLEY,FR-674,2,8,0,,
9961,ANNABESSACOOK L,1,6/28/2003,EI,6,1,4,N,BECKER,BE-780,4,7,0,,
9961,ANNABESSACOOK L,1,7/13/2003,EI,5.7,1,4,N,BECKER,BE-780,6,6,0,,
9961,ANNABESSACOOK L,1,7/22/2003,CW,6.09,1,4,N,FREDENBURG FOLEY,FR-674,4,4,2,,
