MIDAS,LAKE,BASIN,SAMPDATE,AGENCY,DEPTH,TP_PPM,TYPE,R,UNIT,QUAL
9961,ANNABESSACOOK L,1,5/27/2021,CW,9,0.023,C,1,,
9961,ANNABESSACOOK L,2,5/27/2021,CW,5,0.016,C,1,,
9961,ANNABESSACOOK L,1,5/27/2021,CW,999.9,99.999,C,1,,
9961,ANNABESSACOOK L,1,5/28/2021,EI,,,,,,
9961,ANNABESSACOOK L,1,6/4/2021,EI,,,,,,
9961,ANNABESSACOOK L,2,6/4/2021,EI,,,,,,
9961,ANNABESSACOOK L,1,6/12/2021,EI,,,,,,
9961,ANNABESSACOOK L,2,6/15/2021,EI,,,,,,
9961,ANNABESSACOOK L,1,6/23/2021,CW,8,0.018,G,1,,
9961,ANNABESSACOOK L,1,6/23/2021,CW,12.3,0.087,G,1,,
9961,ANNABESSACOOK L,2,6/23/2021,CW,5,0.021,C,1,,
9961,ANNABESSACOOK L,1,6/23/2021,CW,999.9,99.999,C,1,,
9961,ANNABESSACOOK L,1,6/23/2021,CW,6,0.016,C,1,,
9961,ANNABESSACOOK L,1,7/1/2021,EI,,,,,,
9961,ANNABESSACOOK L,2,7/11/2021,EI,,,,,,
9961,ANNABESSACOOK L,1,7/11/2021,EI,,,,,,
9961,ANNABESSACOOK L,1,7/27/2021,CW,5.5,0.015,C,1,,
9961,ANNABESSACOOK L,1,7/27/2021,CW,8,0.032,G,1,,
9961,ANNABESSACOOK L,1,7/27/2021,CW,10,0.077,G,1,,
9961,ANNABESSACOOK L,1,7/27/2021,CW,999.9,99.999,C,1,,
9961,ANNABESSACOOK L,1,7/27/2021,EI,,,,,,
9961,ANNABESSACOOK L,2,7/27/2021,CW,5,0.016,C,1,,
9961,ANNABESSACOOK L,2,7/27/2021,EI,,,,,,
9961,ANNABESSACOOK L,1,7/27/2021,CW,12.4,0.25,G,1,,
9961,ANNABESSACOOK L,1,8/8/2021,EI,,,,,,
9961,ANNABESSACOOK L,1,8/9/2021,CW,,,,,,
9961,ANNABESSACOOK L,2,8/17/2021,EI,,,,,,
9961,ANNABESSACOOK L,1,8/25/2021,CW,2.5,0.02,G,2,,
9961,ANNABESSACOOK L,1,8/25/2021,CW,999.9,99.999,C,1,,
9961,ANNABESSACOOK L,1,8/25/2021,CW,10.5,0.23,G,1,,
9961,ANNABESSACOOK L,2,8/25/2021,CW,4.5,0.021,C,1,,
9961,ANNABESSACOOK L,1,8/25/2021,CW,8.5,0.033,G,1,,
9961,ANNABESSACOOK L,1,8/25/2021,CW,12.4,0.39,G,1,,
9961,ANNABESSACOOK L,1,8/25/2021,CW,4.5,0.024,G,1,,
9961,ANNABESSACOOK L,1,8/25/2021,CW,2.5,0.019,G,1,,
9961,ANNABESSACOOK L,2,8/25/2021,CW,4.5,0.021,C,1,,
9961,ANNABESSACOOK L,2,8/25/2021,CW,4.5,0.021,C,1,,
9961,ANNABESSACOOK L,1,8/25/2021,CW,0.5,0.015,G,1,,
9961,ANNABESSACOOK L,1,8/25/2021,CW,6.5,0.021,G,1,,
9961,ANNABESSACOOK L,1,9/6/2021,EI,,,,,,
9961,ANNABESSACOOK L,1,9/14/2021,CW,4.5,0.019,G,1,,
9961,ANNABESSACOOK L,1,9/14/2021,CW,2.5,0.017,G,1,,
9961,ANNABESSACOOK L,1,9/14/2021,CW,6.5,0.018,G,1,,
9961,ANNABESSACOOK L,1,9/14/2021,CW,8.5,0.016,G,1,,
9961,ANNABESSACOOK L,1,9/14/2021,CW,10.5,0.28,G,1,,
9961,ANNABESSACOOK L,1,9/14/2021,CW,12.4,0.42,G,1,,
9961,ANNABESSACOOK L,1,9/14/2021,CW,2.5,0.024,G,2,,
9961,ANNABESSACOOK L,2,9/14/2021,CW,5,0.024,C,1,,
9961,ANNABESSACOOK L,1,9/14/2021,CW,0.5,0.017,G,1,,
9961,ANNABESSACOOK L,1,9/25/2021,EI,,,,,,
