MIDAS,LAKE,BASIN,SAMPDATE,AGENCY,TP_PPM,DEPTH,R,TYPE
98,NARROWS P (UPPER),1,1998-07-24,CW,0.011,5,1,C
98,NARROWS P (UPPER),1,2000-05-22,CW,0.01,5,1,C
98,NARROWS P (UPPER),1,2000-06-23,CW,0.01,6,1,C
98,NARROWS P (UPPER),1,2000-07-26,CW,0.014,6,1,C
98,NARROWS P (UPPER),1,2000-08-29,CW,0.008,7,1,C
98,NARROWS P (UPPER),1,2000-09-25,CW,0.007,6,1,C
98,NARROWS P (UPPER),1,2000-10-23,CW,0.008,10,1,C
98,NARROWS P (UPPER),1,2001-09-11,CW,0.008,7,1,C
98,NARROWS P (UPPER),1,2001-09-11,CW,0.009,11,1,G
98,NARROWS P (UPPER),1,2001-09-11,CW,0.034,17,3,G
98,NARROWS P (UPPER),1,2002-04-24,CW,0.009,11,1,G
98,NARROWS P (UPPER),1,2002-04-24,CW,0.01,7,1,G
98,NARROWS P (UPPER),1,2002-04-24,CW,0.01,9,1,G
98,NARROWS P (UPPER),1,2002-04-24,CW,0.01,15,1,G
98,NARROWS P (UPPER),1,2002-04-24,CW,0.01,18,1,G
98,NARROWS P (UPPER),1,2002-04-24,CW,0.012,3,1,G
98,NARROWS P (UPPER),1,2002-04-24,CW,0.012,5,1,G
98,NARROWS P (UPPER),1,2002-04-24,CW,0.013,5,1,C
98,NARROWS P (UPPER),1,2002-04-24,CW,0.015,5,2,G
98,NARROWS P (UPPER),1,2002-04-24,CW,0.016,1,1,G
98,NARROWS P (UPPER),1,2002-05-17,CW,0.007,5,1,G
98,NARROWS P (UPPER),1,2002-05-17,CW,0.008,3,1,G
98,NARROWS P (UPPER),1,2002-05-17,CW,0.009,7,2,G
98,NARROWS P (UPPER),1,2002-05-17,CW,0.009,10,1,C
98,NARROWS P (UPPER),1,2002-05-17,CW,0.009,18,1,G
98,NARROWS P (UPPER),1,2002-05-17,CW,0.01,1,1,G
98,NARROWS P (UPPER),1,2002-05-17,CW,0.011,7,1,G
98,NARROWS P (UPPER),1,2002-05-17,CW,0.011,9,1,G
98,NARROWS P (UPPER),1,2002-05-17,CW,0.011,11,1,G
98,NARROWS P (UPPER),1,2002-05-17,CW,0.011,15,1,G
98,NARROWS P (UPPER),1,2002-06-14,CW,0.008,1,1,G
98,NARROWS P (UPPER),1,2002-06-14,CW,0.008,3,1,G
98,NARROWS P (UPPER),1,2002-06-14,CW,0.008,18,1,G
98,NARROWS P (UPPER),1,2002-06-14,CW,0.009,11,1,G
98,NARROWS P (UPPER),1,2002-06-14,CW,0.01,7,1,G
98,NARROWS P (UPPER),1,2002-06-14,CW,0.01,9,1,G
98,NARROWS P (UPPER),1,2002-06-14,CW,0.01,15,1,G
98,NARROWS P (UPPER),1,2002-06-14,CW,0.011,11,2,G
98,NARROWS P (UPPER),1,2002-06-14,CW,0.012,5,1,G
98,NARROWS P (UPPER),1,2002-06-14,CW,0.018,7,1,C
98,NARROWS P (UPPER),1,2002-07-02,CW,0.006,1,1,G
98,NARROWS P (UPPER),1,2002-07-02,CW,0.008,3,1,C
98,NARROWS P (UPPER),1,2002-07-02,CW,0.008,3,1,G
98,NARROWS P (UPPER),1,2002-07-02,CW,0.008,5,1,G
98,NARROWS P (UPPER),1,2002-07-02,CW,0.008,9,2,G
98,NARROWS P (UPPER),1,2002-07-02,CW,0.008,11,1,G
98,NARROWS P (UPPER),1,2002-07-02,CW,0.009,15,1,G
98,NARROWS P (UPPER),1,2002-07-02,CW,0.01,9,1,G
98,NARROWS P (UPPER),1,2002-07-02,CW,0.012,18,1,G
98,NARROWS P (UPPER),1,2002-07-02,CW,0.015,7,1,G
98,NARROWS P (UPPER),1,2002-07-18,CW,0.005,3,1,G
98,NARROWS P (UPPER),1,2002-07-18,CW,0.006,1,1,G
98,NARROWS P (UPPER),1,2002-07-18,CW,0.006,4,1,C
98,NARROWS P (UPPER),1,2002-07-18,CW,0.009,11,1,G
98,NARROWS P (UPPER),1,2002-07-18,CW,0.009,15,1,G
98,NARROWS P (UPPER),1,2002-07-18,CW,0.01,9,1,G
98,NARROWS P (UPPER),1,2002-07-18,CW,0.01,9,2,G
98,NARROWS P (UPPER),1,2002-07-18,CW,0.011,5,1,G
98,NARROWS P (UPPER),1,2002-07-18,CW,0.012,7,1,G
98,NARROWS P (UPPER),1,2002-07-18,CW,0.018,18,1,G
98,NARROWS P (UPPER),1,2002-08-07,CW,0.007,1,1,G
98,NARROWS P (UPPER),1,2002-08-07,CW,0.007,5,1,G
98,NARROWS P (UPPER),1,2002-08-07,CW,0.008,6,1,C
98,NARROWS P (UPPER),1,2002-08-07,CW,0.009,3,1,G
98,NARROWS P (UPPER),1,2002-08-07,CW,0.009,5,2,G
98,NARROWS P (UPPER),1,2002-08-07,CW,0.012,9,1,G
98,NARROWS P (UPPER),1,2002-08-07,CW,0.015,7,1,G
98,NARROWS P (UPPER),1,2002-08-07,CW,0.019,17,1,G
98,NARROWS P (UPPER),1,2002-08-07,CW,0.02,15,1,G
98,NARROWS P (UPPER),1,2002-08-23,CW,0.005,1,1,G
98,NARROWS P (UPPER),1,2002-08-23,CW,0.005,3,1,G
98,NARROWS P (UPPER),1,2002-08-23,CW,0.006,5,1,C
98,NARROWS P (UPPER),1,2002-08-23,CW,0.008,5,1,G
98,NARROWS P (UPPER),1,2002-08-23,CW,0.01,9,1,G
98,NARROWS P (UPPER),1,2002-08-23,CW,0.011,11,1,G
98,NARROWS P (UPPER),1,2002-08-23,CW,0.012,7,2,G
98,NARROWS P (UPPER),1,2002-08-23,CW,0.014,7,1,G
98,NARROWS P (UPPER),1,2002-08-23,CW,0.017,15,1,G
98,NARROWS P (UPPER),1,2002-08-23,CW,0.068,18,1,G
98,NARROWS P (UPPER),1,2002-09-06,CW,0.007,1,1,G
98,NARROWS P (UPPER),1,2002-09-06,CW,0.007,3,1,G
98,NARROWS P (UPPER),1,2002-09-06,CW,0.007,5,1,G
98,NARROWS P (UPPER),1,2002-09-06,CW,0.007,7,1,C
98,NARROWS P (UPPER),1,2002-09-06,CW,0.009,9,1,G
98,NARROWS P (UPPER),1,2002-09-06,CW,0.009,11,1,G
98,NARROWS P (UPPER),1,2002-09-06,CW,0.01,7,1,G
98,NARROWS P (UPPER),1,2002-09-06,CW,0.01,11,2,G
98,NARROWS P (UPPER),1,2002-09-06,CW,0.013,15,1,G
98,NARROWS P (UPPER),1,2002-09-06,CW,0.04,18,1,G
98,NARROWS P (UPPER),1,2002-10-04,CW,0.007,1,1,G
98,NARROWS P (UPPER),1,2002-10-04,CW,0.007,7,1,G
