midas,lake,station,date,depth,tp,rep,type
5254,pleasant,1,2005-06-01,1,0.022,1,g
5254,pleasant,1,2005-06-01,3,0.021,1,g
5254,pleasant,1,2005-06-01,5,0.019,1,g
5254,pleasant,1,2005-06-01,7,0.02,1,g
5254,pleasant,1,2005-06-01,9,0.023,1,g
5254,pleasant,1,2005-08-25,1,0.045,1,g
5254,pleasant,1,2005-08-25,3,0.023,1,g
5254,pleasant,1,2005-08-25,5,0.032,1,g
5254,pleasant,1,2005-08-25,7,0.12,1,g
5254,pleasant,1,2005-08-25,9,0.36,1,g
5254,pleasant,1,2005-09-22,1,0.021,1,g
5254,pleasant,1,2005-09-22,3,0.024,1,g
5254,pleasant,1,2005-09-22,5,0.024,1,g
5254,pleasant,1,2005-09-22,7,0.038,1,g
5254,pleasant,1,2005-09-22,8.5,0.38,1,g
5254,pleasant,1,2005-10-21,1,0.045,1,g
5254,pleasant,1,2005-10-21,3,0.04,1,g
5254,pleasant,1,2005-10-21,5,0.027,1,g
5254,pleasant,1,2005-10-21,7,0.03,1,g
5254,pleasant,1,2005-10-21,9,0.027,1,g
