"LAKNAM","MIDAS","STATION","SAMPDATE","DEPTH","PHOS"
"Annabessacook",9961,1,2022-07-26,0.5,NA
"Annabessacook",9961,1,2022-07-26,2.5,NA
"Annabessacook",9961,1,2022-07-26,4.5,NA
"Annabessacook",9961,1,2022-07-26,6.5,NA
"Annabessacook",9961,1,2022-07-26,8,NA
"Annabessacook",9961,1,2022-07-26,9.5,NA
"Annabessacook",9961,1,2022-07-26,11,NA
"Annabessacook",9961,1,2022-07-26,0.5,NA
"Annabessacook",9961,1,2022-07-26,2.5,NA
"Annabessacook",9961,1,2022-07-26,4.5,NA
"Annabessacook",9961,1,2022-07-26,6.5,NA
"Annabessacook",9961,1,2022-07-26,8,NA
"Annabessacook",9961,1,2022-07-26,9.5,NA
"Annabessacook",9961,1,2022-07-26,11,NA
"Annabessacook",9961,1,2022-08-31,0.5,NA
"Annabessacook",9961,1,2022-08-31,1.5,NA
"Annabessacook",9961,1,2022-08-31,2.5,NA
"Annabessacook",9961,1,2022-08-31,4.5,NA
"Annabessacook",9961,1,2022-08-31,6.5,NA
"Annabessacook",9961,1,2022-08-31,7.5,NA
"Annabessacook",9961,1,2022-08-31,8.5,NA
"Annabessacook",9961,1,2022-08-31,9.5,NA
"Annabessacook",9961,1,2022-08-31,10.5,NA
"Annabessacook",9961,1,2022-08-31,11.4,NA
"Annabessacook",9961,1,2022-08-31,0.5,NA
"Annabessacook",9961,1,2022-08-31,1.5,NA
"Annabessacook",9961,1,2022-08-31,2.5,NA
"Annabessacook",9961,1,2022-08-31,4.5,NA
"Annabessacook",9961,1,2022-08-31,6.5,NA
"Annabessacook",9961,1,2022-08-31,7.5,NA
"Annabessacook",9961,1,2022-08-31,8.5,NA
"Annabessacook",9961,1,2022-08-31,9.5,NA
"Annabessacook",9961,1,2022-08-31,10.5,NA
"Annabessacook",9961,1,2022-08-31,11.4,NA
"Annabessacook",9961,1,2022-11-07,12,NA
"Annabessacook",9961,1,2022-11-07,12,NA
