"SAMPLEID","MIDAS","STATION","SAMPDATE","YEAR","DEPTH_M","TYPE","REP","CA_MG_L","MG_MG_L","K_MG_L","NA_MG_L","CL_UEQ_L","NO3_UEQ_L","SO4_UEQ_L","DOC_MG_L","ANC_UEQ_L","NH4_MG_L","SI_MG_L","AL_UG_L","FE_UG_L","CON_US_CM","EQ_PH","TCOLOR_PCU","ACOLOR_PCU","CLPH","ANCPH","TN_MG_L","AGENCY","PROJECT","NOTES1","NOTES2","ANC_DILUT","TP_UG_L","CHLA_UG_L"
"Anna",9961.00,1.00,2008-8-20 0:00:00,2008.00,5.00,"C",1.00,6.69,0.97,0.84,6.90,272.00,"<1",77.00,4.24,352.00,,"0.52","<10","32",80.10,,13.00,29.00,,7.35,0.24,"EI",2.00,,,,,
"Annabessacook",9961.00,1.00,2003-8-22 0:00:00,2003.00,6.00,"C",1.00,8.17,1.13,0.93,6.57,329.00,"<1",109.00,3.97,358.00,,"0.36","<10",,,,10.00,22.00,,7.48,0.27,"EI",2.00,,,,,
"Annabessacook",9961.00,1.00,2006-9-11 0:00:00,2006.00,8.00,"C",1.00,7.49,1.19,1.03,6.55,284.00,"<1",78.00,4.21,369.00,,"0.86","10","22",83.00,,11.00,36.00,,7.63,0.37,"CW",3.00,,,,,
"BERR",3828.00,1.00,2010-8-9 0:00:00,2010.00,4.00,"C",1.00,8.15,0.94,0.56,4.39,178.00,"<1",51.00,4.75,489.00,,"0.99","<10","50",74.70,,16.00,27.00,,7.78,0.29,"EI",2.00,,,,,
"Berry",3828.00,1.00,2006-8-29 0:00:00,2006.00,4.00,"C",1.00,8.63,0.92,0.53,5.45,221.00,"<1",49.00,6.48,452.00,,"2.03","16","112",79.00,,32.00,44.00,,7.56,0.39,"CW",3.00,,,,,
"BUKE",5242.00,1.00,2010-8-18 0:00:00,2010.00,4.50,"C",1.00,7.79,0.96,0.98,8.49,359.00,"<1",58.00,4.51,444.00,,"0.72","<10","86",94.20,,17.00,28.00,,7.62,0.27,"EI",2.00,,,,,
"Bunker",5242.00,1.00,2006-8-10 0:00:00,2006.00,3.00,"C",1.00,7.46,0.90,1.09,9.56,429.00,"<1",60.00,6.10,402.00,,"0.71","14","156",107.00,,28.00,37.00,,7.64,0.33,"EI",2.00,,,,,
"Bunker",5242.00,1.00,2006-9-13 0:00:00,2006.00,4.00,"C",1.00,8.12,0.97,1.09,11.80,480.00,"<1",66.00,5.52,416.00,,"0.49","17","113",107.00,,20.00,30.00,,7.47,0.31,"CW",3.00,,,,,
"CARL",5310.00,1.00,2010-8-24 0:00:00,2010.00,6.50,"C",1.00,5.39,0.97,0.82,4.00,171.00,"<1",66.00,3.70,297.00,,"0.5","<10","10",59.50,,7.00,18.00,,7.52,0.17,"EI",2.00,,,,,
"Carlton",5310.00,1.00,1998-8-20 0:00:00,1998.00,4.00,"C",1.00,4.91,0.89,0.98,3.38,144.00,"0",88.70,6.75,287.50,,,,,,,,,,7.27,,"EI",2.00,,,,,
"Carlton",5310.00,1.00,2007-8-21 0:00:00,2007.00,6.00,"C",1.00,4.61,0.78,0.69,3.64,166.00,"<1",66.00,3.97,235.00,,"0.502","<10","11",54.80,,13.00,22.00,,7.46,0.20,"EI",2.00,,"DOC: 30 days out HT",,,
"Cobb",5236.00,1.00,2008-8-20 0:00:00,2008.00,6.00,"C",1.00,7.28,0.96,0.92,6.38,251.00,"<1",79.00,4.01,378.00,,"0.45","<10","6",80.80,,8.00,34.00,,7.41,0.29,"EI",2.00,,,,,
"COBB",5236.00,1.00,2010-8-19 0:00:00,2010.00,7.00,"C",1.00,7.61,1.10,0.97,4.76,206.00,"<1",66.00,3.48,407.00,,"0.39","<10","5",73.60,,6.00,28.00,7.92,7.70,0.34,"EI",2.00,"Re-Remap",,,,
"Cobbossee WD",5236.00,1.00,2006-8-17 0:00:00,2006.00,8.00,"C",1.00,7.21,1.00,0.95,5.35,241.00,"<1",77.00,3.70,376.00,,"0.42","<10","9",81.00,,10.00,28.00,,7.63,0.44,"CW",2.00,,,,,
"Cobbossee WD",5236.00,2.00,2006-8-17 0:00:00,2006.00,7.00,"C",1.00,5.95,0.82,0.82,4.60,244.00,"<1",79.00,3.69,373.00,,"0.31","<10","6",82.00,,10.00,28.00,,7.76,0.42,"CW",2.00,,,,,
"Cobbosseecontee",5236.00,1.00,2003-8-20 0:00:00,2003.00,7.00,"C",1.00,8.70,1.07,0.97,5.53,108.00,"<1",270.00,3.88,397.00,,"0.48","<10",,,,8.00,25.00,,7.45,0.36,"EI",2.00,,,,,
"COCH",3814.00,1.00,2010-8-10 0:00:00,2010.00,6.00,"C",1.00,7.09,1.26,1.04,9.87,371.00,"<1",66.00,3.41,379.00,,"0.28","<10","24",91.00,,8.00,20.00,,7.47,0.30,"EI",2.00,,,,,
"COCH",3814.00,1.00,2011-8-23 0:00:00,2011.00,6.00,"C",1.00,6.71,1.17,0.99,7.99,359.00,"<1",65.00,3.51,368.00,,"0.91","<10","15",89.20,,9.00,46.00,7.82,7.65,0.36,"EI",2.00,,,,16.00,32.00
"Cochnewagon",3814.00,1.00,2007-8-21 0:00:00,2007.00,6.00,"C",1.00,6.04,1.06,0.81,6.71,340.00,"<1",67.00,3.41,330.00,,"0.135","<10","24.4",86.20,,8.00,29.00,,7.54,0.23,"EI",2.00,,"DOC: 30 days out HT",,,
"DEXT",3830.00,1.00,2010-9-8 0:00:00,2010.00,4.00,"C",1.00,7.46,0.89,0.58,4.81,146.00,"<1",54.00,4.11,408.00,,"0.68","<10","31",65.00,,14.00,23.00,7.48,7.56,0.35,"EI",2.00,"Re-Remap",,,,
"Dexter",3830.00,1.00,2006-8-29 0:00:00,2006.00,4.00,"C",1.00,7.68,0.83,0.48,4.86,204.00,"<1",58.00,5.33,388.00,,"1.38","11","60",72.00,,24.00,32.00,,7.50,0.35,"CW",3.00,,,,,
"Dexter P",3830.00,1.00,2001-8-30 0:00:00,2001.00,5.00,"C",1.00,7.59,0.83,0.48,3.94,220.00,"<1.0",85.00,4.24,354.00,,,"11",,,,,,,7.60,,"EI",2.00,,,,,
"Horseshoe Pond",5252.00,1.00,2008-8-25 0:00:00,2008.00,0.00,"g",1.00,6.90,0.91,0.82,6.42,257.00,"<1",74.00,3.96,,,"0.52","<10","30",81.90,,11.00,37.00,,,0.36,"EI",3.00,,,,,
"Jamies",5302.00,1.00,2006-8-30 0:00:00,2006.00,4.00,"C",1.00,3.39,0.55,0.47,2.30,58.00,"<1",49.00,6.69,171.00,,"1.48","66","105",33.00,,41.00,48.00,,6.94,0.30,"CW",3.00,,,,,
"Jamies P",5302.00,1.00,1997-8-8 0:00:00,1997.00,4.00,"C",1.00,3.12,0.51,0.55,2.11,62.70,"0",71.40,5.39,152.00,,,,,,,,,,7.16,,"EI",2.00,,,,,
"JIMM",5244.00,1.00,2010-8-18 0:00:00,2010.00,2.50,"C",1.00,8.92,1.12,1.49,13.90,518.00,"<1",62.00,5.84,488.00,,"1.53","14","159",118.00,,26.00,41.00,,7.61,0.33,"EI",2.00,,,,,
"Jimmy",5244.00,1.00,2006-8-10 0:00:00,2006.00,4.00,"C",1.00,8.57,1.05,1.34,13.90,647.00,"<1",58.00,6.26,461.00,,"1.77","23","234",141.00,,37.00,48.00,,7.68,0.38,"EI",2.00,,,,,
"Jimmy",5244.00,1.00,2006-9-13 0:00:00,2006.00,4.00,"C",1.00,9.24,1.17,1.59,16.70,713.00,"<1",64.00,5.55,476.00,,"1.28","17","170",142.00,,26.00,40.00,,7.45,0.35,"CW",3.00,,,,,
"Kezar",5316.00,1.00,2006-8-29 0:00:00,2006.00,3.00,"C",1.00,6.31,1.34,0.85,11.50,536.00,"<1",66.00,5.77,326.00,,"1.47","12","45",110.00,,27.00,45.00,,7.37,0.53,"LE",3.00,,,,,
