"LAKNAM","MIDAS","STATION","SAMPDATE","AGENCY","PROJECT","DEPTH","TYPE","PH","PHMETH","PHLAB","COLOR","AORT","COLRMETH","COLRLAB","CONDUCT","CONDMETH","CONDLAB","ALK","ALKMETH","ALKLAB"
"ANNABESSACOO",9961.00,1.00,1975-3-13 0:00:00,"EI",2.00,0.00,"G",6.70,"C","DEP",25.00,"A","C","DEP",40.00,"E","DEP",16.00,"M","DEP"
"ANNABESSACOO",9961.00,1.00,1975-3-13 0:00:00,"EI",2.00,1.40,"G",6.50,"C","DEP",25.00,"A","C","DEP",40.00,"E","DEP",19.00,"M","DEP"
"ANNABESSACOO",9961.00,1.00,1975-3-13 0:00:00,"EI",2.00,2.80,"G",6.10,"C","DEP",30.00,"A","C","DEP",43.00,"E","DEP",19.00,"M","DEP"
"ANNABESSACOO",9961.00,1.00,1975-6-30 0:00:00,"EI",2.00,0.00,"G",7.60,"C","DEP",30.00,"A","C","DEP",59.00,"E","DEP",17.00,"M","DEP"
"ANNABESSACOO",9961.00,1.00,1975-6-30 0:00:00,"EI",2.00,2.30,"G",6.30,"C","DEP",,,,,51.00,"E","DEP",19.00,"M","DEP"
"ANNABESSACOO",9961.00,1.00,1975-6-30 0:00:00,"EI",2.00,3.70,"G",7.40,"C","DEP",30.00,"A","C","DEP",59.00,"E","DEP",19.00,"M","DEP"
"ANNABESSACOO",9961.00,1.00,1975-8-25 0:00:00,"EI",2.00,0.00,"G",7.40,"C","DEP",,,,,,,,,,
"ANNABESSACOO",9961.00,1.00,1975-8-25 0:00:00,"EI",2.00,12.00,"G",6.60,"C","DEP",,,,,,,,,,
"ANNABESSACOO",9961.00,1.00,1976-3-25 0:00:00,"EI",2.00,1.00,"G",6.50,"C","DEP",,,,,,,,,,
"ANNABESSACOO",9961.00,1.00,1976-3-25 0:00:00,"EI",2.00,6.00,"G",6.30,"C","DEP",,,,,,,,,,
"ANNABESSACOO",9961.00,1.00,1976-3-25 0:00:00,"EI",2.00,11.00,"G",6.10,"C","DEP",,,,,,,,,,
"ANNABESSACOO",9961.00,1.00,1977-5-5 0:00:00,"CW",3.00,1.00,"G",,,,,,,,65.00,"E","CWD",10.00,"C","CWD"
"ANNABESSACOO",9961.00,1.00,1977-5-5 0:00:00,"CW",3.00,11.00,"G",,,,,,,,66.00,"E","CWD",10.00,"C","CWD"
