"LAKNAM","MIDAS","STATION","SAMPDATE","AGENCY","PROJECT","DEPTH","TYPE","CHLA","R","L","FLAG"
"ANNA",9961.00,2.00,1988-10-11 0:00:00,"CW",3.00,5.00,"C",16.00,,,
"ANNABESSACOO",9961.00,1.00,1975-3-13 0:00:00,"EI",2.00,,"C",1.00,,,
"ANNABESSACOO",9961.00,1.00,1975-6-30 0:00:00,"EI",2.00,,"C",5.40,,,
"ANNABESSACOO",9961.00,1.00,1976-3-25 0:00:00,"EI",2.00,,"C",2.10,,,
"ANNABESSACOO",9961.00,1.00,1976-4-21 0:00:00,"CW",3.00,,"C",8.20,,,
"ANNABESSACOO",9961.00,1.00,1976-5-17 0:00:00,"CW",3.00,,"C",5.40,,,
"ANNABESSACOO",9961.00,1.00,1976-6-10 0:00:00,"CW",3.00,,"C",4.50,,,
"ANNABESSACOO",9961.00,1.00,1976-7-8 0:00:00,"CW",3.00,,"C",4.80,,,
"ANNABESSACOO",9961.00,1.00,1976-7-26 0:00:00,"CW",3.00,,"C",7.60,,,
"ANNABESSACOO",9961.00,1.00,1976-8-5 0:00:00,"CW",3.00,,"C",8.30,,,
"ANNABESSACOO",9961.00,1.00,1976-8-19 0:00:00,"CW",3.00,,"C",5.20,,,
"ANNABESSACOO",9961.00,1.00,1976-9-3 0:00:00,"CW",3.00,,"C",14.90,,,
"ANNABESSACOO",9961.00,1.00,1976-10-1 0:00:00,"CW",3.00,,"C",20.50,,,
"ANNABESSACOO",9961.00,1.00,1976-10-18 0:00:00,"CW",3.00,,"C",10.80,,,
"ANNABESSACOO",9961.00,1.00,1977-5-5 0:00:00,"EI",2.00,10.00,"C",15.60,,,
"ANNABESSACOO",9961.00,1.00,1977-5-26 0:00:00,"EI",2.00,10.00,"C",7.40,,,
"ANNABESSACOO",9961.00,1.00,1977-6-10 0:00:00,"EI",2.00,10.00,"C",9.40,,,
"ANNABESSACOO",9961.00,1.00,1977-6-23 0:00:00,"EI",2.00,10.00,"C",13.80,,,
"ANNABESSACOO",9961.00,1.00,1977-7-11 0:00:00,"EI",2.00,10.00,"C",9.60,,,
"ANNABESSACOO",9961.00,1.00,1977-7-21 0:00:00,"EI",2.00,5.00,"C",27.70,,,
"ANNABESSACOO",9961.00,1.00,1977-7-21 0:00:00,"EI",2.00,10.00,"C",16.90,,,
"ANNABESSACOO",9961.00,1.00,1977-8-2 0:00:00,"EI",2.00,1.00,"C",58.30,,,
"ANNABESSACOO",9961.00,1.00,1977-8-2 0:00:00,"EI",2.00,7.00,"C",5.00,,,
"ANNABESSACOO",9961.00,1.00,1977-8-9 0:00:00,"CW",3.00,2.00,"G",13.70,,,
"ANNABESSACOO",9961.00,1.00,1977-8-9 0:00:00,"CW",3.00,5.00,"G",3.60,,,
"ANNABESSACOO",9961.00,1.00,1977-8-9 0:00:00,"EI",2.00,,"C",33.00,,,
"ANNABESSACOO",9961.00,1.00,1977-9-15 0:00:00,"EI",2.00,,"C",15.60,,,
"ANNABESSACOO",9961.00,1.00,1977-9-30 0:00:00,"CW",3.00,5.00,"C",33.30,,,
"ANNABESSACOO",9961.00,1.00,1977-10-10 0:00:00,"CW",3.00,5.00,"C",17.80,,,
"ANNABESSACOO",9961.00,1.00,1977-11-3 0:00:00,"EI",2.00,0.00,"G",8.00,,,
"ANNABESSACOO",9961.00,1.00,1977-11-3 0:00:00,"EI",2.00,6.00,"G",10.50,,,
"ANNABESSACOO",9961.00,1.00,1977-12-2 0:00:00,"EI",2.00,5.00,"C",8.70,,,
"ANNABESSACOO",9961.00,1.00,1978-1-3 0:00:00,"EI",2.00,20.00,"C",3.70,,,
"ANNABESSACOO",9961.00,1.00,1978-2-9 0:00:00,"CW",3.00,3.00,"G",2.00,,,
"ANNABESSACOO",9961.00,1.00,1978-2-9 0:00:00,"CW",3.00,6.00,"G",1.10,,,
"ANNABESSACOO",9961.00,1.00,1978-3-20 0:00:00,"CW",3.00,3.00,"G",1.70,,,
"ANNABESSACOO",9961.00,1.00,1978-6-6 0:00:00,"CW",3.00,5.00,"C",6.20,,,
"ANNABESSACOO",9961.00,1.00,1978-6-23 0:00:00,"CW",3.00,5.00,"C",5.80,,,
"ANNABESSACOO",9961.00,1.00,1978-7-3 0:00:00,"CW",3.00,5.00,"C",16.80,,,
"ANNABESSACOO",9961.00,1.00,1978-7-14 0:00:00,"CW",3.00,5.00,"C",26.30,,,
"ANNABESSACOO",9961.00,1.00,1978-7-21 0:00:00,"CW",3.00,5.00,"C",41.80,,,
"ANNABESSACOO",9961.00,1.00,1978-7-31 0:00:00,"CW",3.00,5.00,"C",28.00,,,
"ANNABESSACOO",9961.00,1.00,1978-8-7 0:00:00,"CW",3.00,3.00,"G",33.20,,,
"ANNABESSACOO",9961.00,1.00,1978-8-30 0:00:00,"CW",3.00,5.00,"C",13.20,,,
"ANNABESSACOO",9961.00,1.00,1978-9-8 0:00:00,"CW",3.00,5.00,"C",17.70,,,
"ANNABESSACOO",9961.00,1.00,1978-9-13 0:00:00,"CW",3.00,5.00,"C",20.30,,,
"ANNABESSACOO",9961.00,1.00,1978-9-19 0:00:00,"CW",3.00,5.00,"C",18.60,,,
"ANNABESSACOO",9961.00,1.00,1978-9-25 0:00:00,"CW",3.00,5.00,"C",12.90,,,
"ANNABESSACOO",9961.00,1.00,1978-10-3 0:00:00,"CW",3.00,5.00,"C",24.90,,,
"ANNABESSACOO",9961.00,1.00,1978-10-24 0:00:00,"CW",3.00,5.00,"C",13.40,,,
"ANNABESSACOO",9961.00,1.00,1978-11-7 0:00:00,"CW",3.00,5.00,"C",10.20,,,
"ANNABESSACOO",9961.00,1.00,1978-11-27 0:00:00,"CW",3.00,5.00,"C",7.70,,,
"ANNABESSACOO",9961.00,1.00,1978-12-22 0:00:00,"CW",3.00,5.00,"C",4.20,,,
"ANNABESSACOO",9961.00,1.00,1979-1-24 0:00:00,"CW",3.00,5.00,"C",2.00,,,
"ANNABESSACOO",9961.00,1.00,1979-2-28 0:00:00,"CW",3.00,5.00,"C",3.80,,,
"ANNABESSACOO",9961.00,1.00,1979-3-16 0:00:00,"CW",3.00,5.00,"C",3.60,,,
"ANNABESSACOO",9961.00,1.00,1979-4-18 0:00:00,"EI",3.00,10.00,"C",3.70,,,
"ANNABESSACOO",9961.00,1.00,1979-4-20 0:00:00,"CW",3.00,10.00,"C",4.70,,,
"ANNABESSACOO",9961.00,1.00,1979-5-2 0:00:00,"CW",3.00,10.00,"C",5.90,,,
"ANNABESSACOO",9961.00,1.00,1979-5-15 0:00:00,"CW",3.00,10.00,"C",5.30,,,
"ANNABESSACOO",9961.00,1.00,1979-5-31 0:00:00,"EI",2.00,10.00,"C",3.10,,,
"ANNABESSACOO",9961.00,1.00,1979-6-12 0:00:00,"EI",3.00,10.00,"C",4.30,,,
