"LAKNAM","MIDAS","STATION","SAMPDATE","AGENCY","PROJECT","TIME","SURVEYOR1","SURVEYOR2","SURVEYOR3","SURVEYOR4","WINDVEL","WINDDIR","CLOUDCVR","SECCHI","SECCBOT","SCOPE","REP","QA_CERT","GLOEO","COMMENTS"
"ANNA",9961.00,1.00,1977-9-30 0:00:00,"CW",3.00,,"DOMINIE,DAVID","KING,WENDY",,,1.00,7.00,"B",1.80,"N","2","1",,,
"ANNA",9961.00,1.00,1977-11-3 0:00:00,"CW",3.00,,"DENNIS","KING,WENDY",,,0.00,0.00,"O",2.60,"N","2","1",,,
"ANNA",9961.00,1.00,1980-1-21 0:00:00,"CW",3.00,"1100","KING,WENDY","SELSER,",,,,,"B",,,,"1",,,
"ANNABESSACOO",9961.00,1.00,1975-3-13 0:00:00,"EI",2.00,"1200","DENNIS,JEFF",,,,0.00,,"O",3.70,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1975-4-29 0:00:00,"EI",2.00,,"MOWER,BARRY",,,,0.00,,"O",3.00,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1975-5-29 0:00:00,"CW",3.00,,"CWD",,,,,,,4.10,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1975-6-19 0:00:00,"CW",3.00,,"CWD",,,,,,,3.70,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1975-6-30 0:00:00,"EI",2.00,"1250","MOWER,BARRY",,,,5.00,2.00,"B",4.80,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1975-7-2 0:00:00,"CW",3.00,,"CWD",,,,,,,4.30,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1975-7-4 0:00:00,"CW",3.00,,"CWD",,,,,,,4.60,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1975-7-8 0:00:00,"CW",3.00,,"CWD",,,,,,,4.10,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1975-7-15 0:00:00,"CW",3.00,,"CWD",,,,,,,2.10,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1975-7-17 0:00:00,"CW",3.00,,"CWD",,,,,,,2.10,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1975-7-21 0:00:00,"CW",3.00,,"CWD",,,,,,,1.80,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1975-7-23 0:00:00,"CW",3.00,,"CWD",,,,,,,1.70,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1975-7-28 0:00:00,"CW",3.00,,"CWD",,,,,,,1.70,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1975-8-5 0:00:00,"CW",3.00,,"CWD",,,,,,,1.40,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1975-8-12 0:00:00,"CW",3.00,,"CWD",,,,,,,2.40,"N","2",,,,
"ANNABESSACOO",9961.00,1.00,1975-8-12 0:00:00,"CW",3.00,"1100","MORAN",,,,3.00,,"B",2.40,"N","2",,,,
"ANNABESSACOO",9961.00,1.00,1975-8-20 0:00:00,"CW",3.00,,"CWD",,,,,,,2.60,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1975-8-25 0:00:00,"EI",2.00,"1210","MOWER,BARRY",,,,3.00,4.00,"O",2.00,"N","2","1",,,
