"LAKNAM","MIDAS","STATION","SAMPDATE","AGENCY","PROJECT","DEPTH","TYPE","TP_PPM","REP","LAB","COUNT","QUAL"
"ANNABESSACOO",9961.00,1.00,1997-5-21 0:00:00,"CW",3.00,0.50,"G",0.01,"1","D",6.00,"PG"
"ANNABESSACOO",9961.00,1.00,1997-5-21 0:00:00,"CW",3.00,2.50,"G",0.01,"1","D",6.00,"PG"
"ANNABESSACOO",9961.00,1.00,1997-5-21 0:00:00,"CW",3.00,4.50,"G",0.01,"1","D",6.00,"PG"
"ANNABESSACOO",9961.00,1.00,1997-5-21 0:00:00,"CW",3.00,6.50,"G",0.01,"1","D",6.00,"PG"
"ANNABESSACOO",9961.00,1.00,1997-5-21 0:00:00,"CW",3.00,8.50,"G",0.01,"1","D",6.00,"PG"
"ANNABESSACOO",9961.00,1.00,1997-5-21 0:00:00,"CW",3.00,10.00,"G",0.01,"1","D",6.00,"PG"
"ANNABESSACOO",9961.00,1.00,1997-6-11 0:00:00,"CW",3.00,0.50,"G",0.01,"1","D",6.00,"PG"
"ANNABESSACOO",9961.00,1.00,1997-6-11 0:00:00,"CW",3.00,2.50,"G",0.01,"1","D",6.00,"PG"
"ANNABESSACOO",9961.00,1.00,1997-6-11 0:00:00,"CW",3.00,4.50,"G",0.02,"1","D",6.00,"PG"
"ANNABESSACOO",9961.00,1.00,1997-6-11 0:00:00,"CW",3.00,6.50,"G",0.01,"1","D",6.00,"PG"
"ANNABESSACOO",9961.00,1.00,1997-6-11 0:00:00,"CW",3.00,8.50,"G",0.02,"1","D",6.00,"PG"
"ANNABESSACOO",9961.00,1.00,1997-6-11 0:00:00,"CW",3.00,10.50,"G",0.02,"1","D",6.00,"PG"
"ANNABESSACOO",9961.00,1.00,1997-7-7 0:00:00,"CW",3.00,0.50,"G",0.01,"1","D",1.00,"SG"
"ANNABESSACOO",9961.00,1.00,1997-7-7 0:00:00,"CW",3.00,2.50,"C",0.01,"1","D",1.00,"EC"
"ANNABESSACOO",9961.00,1.00,1997-7-7 0:00:00,"CW",3.00,4.50,"C",0.01,"1","D",1.00,"EC"
"ANNABESSACOO",9961.00,1.00,1997-7-7 0:00:00,"CW",3.00,6.50,"C",0.01,"1","D",1.00,"EC"
"ANNABESSACOO",9961.00,1.00,1997-7-7 0:00:00,"CW",3.00,8.50,"C",0.02,"1","D",1.00,"EC"
"ANNABESSACOO",9961.00,1.00,1997-7-7 0:00:00,"CW",3.00,10.50,"C",0.03,"1","D",1.00,"EC"
"ANNABESSACOO",9961.00,1.00,1997-7-7 0:00:00,"CW",3.00,12.50,"C",0.08,"1","D",1.00,"EC"
"ANNABESSACOO",9961.00,1.00,1997-8-8 0:00:00,"CW",3.00,0.50,"G",0.01,"1","D",6.00,"PG"
"ANNABESSACOO",9961.00,1.00,1997-8-8 0:00:00,"CW",3.00,2.50,"G",0.01,"1","D",6.00,"PG"
"ANNABESSACOO",9961.00,1.00,1997-8-8 0:00:00,"CW",3.00,4.50,"G",0.02,"1","D",6.00,"PG"
"ANNABESSACOO",9961.00,1.00,1997-8-8 0:00:00,"CW",3.00,6.50,"G",0.02,"1","D",6.00,"PG"
"ANNABESSACOO",9961.00,1.00,1997-8-8 0:00:00,"CW",3.00,8.50,"G",0.04,"1","D",6.00,"PG"
"ANNABESSACOO",9961.00,1.00,1997-8-8 0:00:00,"CW",3.00,10.50,"G",0.08,"1","D",6.00,"PG"
"ANNABESSACOO",9961.00,1.00,1997-9-4 0:00:00,"CW",3.00,0.50,"G",0.02,"1","D",6.00,"PG"
"ANNABESSACOO",9961.00,1.00,1997-9-4 0:00:00,"CW",3.00,2.50,"G",0.02,"1","D",6.00,"PG"
"ANNABESSACOO",9961.00,1.00,1997-9-4 0:00:00,"CW",3.00,4.50,"G",0.02,"1","D",6.00,"PG"
"ANNABESSACOO",9961.00,1.00,1997-9-4 0:00:00,"CW",3.00,6.50,"G",0.02,"1","D",6.00,"PG"
"ANNABESSACOO",9961.00,1.00,1997-9-4 0:00:00,"CW",3.00,8.50,"G",0.11,"1","D",6.00,"PG"
"ANNABESSACOO",9961.00,1.00,1997-9-4 0:00:00,"CW",3.00,10.50,"G",0.19,"1","D",6.00,"PG"
