"","year","station","min.secchi","earliest.date","latest.date"
"1",2013,1,2.47,"2013-08-03","2013-08-31"
"2",2014,1,2.35,"2014-08-20","2014-10-31"
"3",2014,2,2.25,"2014-08-14","2014-10-31"
"4",2015,1,2.55,"2015-08-13","2015-10-08"
"5",2015,2,2.35,"2015-08-11","2015-09-24"
"6",2016,1,2.78,"2016-09-14","2016-09-29"
"7",2016,2,2.08,"2016-08-31","2016-09-29"
"8",2017,1,1.8,"2017-08-30","2017-11-01"
"9",2017,2,2,"2017-08-15","2017-11-01"
"10",2018,1,1.985,"2018-08-14","2018-10-25"
"11",2018,2,1.9,"2018-08-14","2018-10-25"
"12",2019,2,2.65,"2019-09-03","2019-10-15"
"13",2020,1,1.95,"2020-08-22","2020-10-15"
"14",2020,2,2.2,"2020-08-07","2020-10-15"
"15",2021,1,1.835,"2021-08-09","2021-10-06"
"16",2021,2,1.89,"2021-08-25","2021-10-09"
"17",2022,1,1.93,"2022-08-26","2022-09-30"
"18",2022,2,1.95,"2022-08-16","2022-09-30"
