"midas","lake","basin","date","agency","depth","type","ph","color","conduct","alk","year","month","sampleid"
98,"narrows upper",1,"1998-07-24","cw",5,"c",6.8,NA,NA,17.5,1998,7,"98_1_1998-07-24"
98,"narrows upper",1,"2000-05-22","cw",5,"c",7,NA,NA,13.5,2000,5,"98_1_2000-05-22"
98,"narrows upper",1,"2000-06-23","cw",6,"c",6.8,NA,NA,14.5,2000,6,"98_1_2000-06-23"
98,"narrows upper",1,"2000-07-26","cw",6,"c",7,NA,NA,12.5,2000,7,"98_1_2000-07-26"
98,"narrows upper",1,"2000-08-29","cw",7,"c",6.8,NA,NA,14,2000,8,"98_1_2000-08-29"
98,"narrows upper",1,"2000-09-25","cw",6,"c",6.9,NA,NA,14,2000,9,"98_1_2000-09-25"
98,"narrows upper",1,"2000-10-23","cw",10,"c",6.9,NA,NA,15,2000,10,"98_1_2000-10-23"
98,"narrows upper",1,"2001-09-11","cw",7,"c",7,NA,NA,14.5,2001,9,"98_1_2001-09-11"
98,"narrows upper",1,"2002-04-24","cw",5,"c",6.8,NA,NA,14.9,2002,4,"98_1_2002-04-24"
98,"narrows upper",1,"2002-05-17","cw",10,"c",7.1,NA,NA,15.2,2002,5,"98_1_2002-05-17"
98,"narrows upper",1,"2002-05-31","cw",4,"c",7.2,NA,NA,14.5,2002,5,"98_1_2002-05-31"
98,"narrows upper",1,"2002-06-14","cw",7,"c",6.8,NA,NA,15.1,2002,6,"98_1_2002-06-14"
98,"narrows upper",1,"2002-07-02","cw",3,"c",6.8,NA,NA,15.3,2002,7,"98_1_2002-07-02"
98,"narrows upper",1,"2002-07-18","cw",4,"c",7.1,NA,NA,16.1,2002,7,"98_1_2002-07-18"
98,"narrows upper",1,"2002-08-07","cw",6,"c",7.2,NA,NA,14.8,2002,8,"98_1_2002-08-07"
98,"narrows upper",1,"2002-08-23","cw",5,"c",7.1,NA,NA,15,2002,8,"98_1_2002-08-23"
98,"narrows upper",1,"2002-09-06","cw",7,"c",6.9,NA,NA,14.8,2002,9,"98_1_2002-09-06"
98,"narrows upper",1,"2002-10-04","cw",7,"c",6.9,NA,NA,14.7,2002,10,"98_1_2002-10-04"
98,"narrows upper",1,"2002-10-21","cw",10,"c",6.9,NA,NA,15.1,2002,10,"98_1_2002-10-21"
98,"narrows upper",1,"2002-11-12","cw",10,"c",7,NA,NA,15.2,2002,11,"98_1_2002-11-12"
98,"narrows upper",1,"2003-06-23","cw",5,"c",7.2,15,NA,17.9,2003,6,"98_1_2003-06-23"
98,"narrows upper",1,"2003-07-28","cw",6,"c",7.2,17,NA,19.2,2003,7,"98_1_2003-07-28"
98,"narrows upper",1,"2003-08-27","cw",7,"c",7,12,NA,20,2003,8,"98_1_2003-08-27"
98,"narrows upper",1,"2003-09-29","cw",7,"c",7,15,NA,18,2003,9,"98_1_2003-09-29"
98,"narrows upper",1,"2003-10-24","cw",10,"c",7.1,16,NA,18.5,2003,10,"98_1_2003-10-24"
98,"narrows upper",1,"2006-06-07","cw",3,"c",7,NA,NA,17,2006,6,"98_1_2006-06-07"
98,"narrows upper",1,"2006-07-06","cw",5,"c",6.8,NA,NA,21,2006,7,"98_1_2006-07-06"
98,"narrows upper",1,"2006-08-03","cw",3,"c",6.9,NA,NA,19.5,2006,8,"98_1_2006-08-03"
98,"narrows upper",1,"2006-09-05","cw",5,"c",7.1,NA,NA,18,2006,9,"98_1_2006-09-05"
98,"narrows upper",1,"2006-10-09","cw",7,"c",6.7,NA,NA,20,2006,10,"98_1_2006-10-09"
98,"narrows upper",1,"2009-05-20","cw",5,"c",NA,NA,NA,18,2009,5,"98_1_2009-05-20"
98,"narrows upper",1,"2009-06-11","cw",5,"c",NA,NA,NA,19.5,2009,6,"98_1_2009-06-11"
98,"narrows upper",1,"2009-07-14","cw",5,"c",NA,NA,NA,20.5,2009,7,"98_1_2009-07-14"
98,"narrows upper",1,"2009-08-10","cw",6,"c",NA,NA,NA,21,2009,8,"98_1_2009-08-10"
98,"narrows upper",1,"2009-09-30","cw",6,"c",NA,NA,NA,21,2009,9,"98_1_2009-09-30"
98,"narrows upper",1,"2009-10-29","cw",10,"c",NA,NA,NA,20,2009,10,"98_1_2009-10-29"
98,"narrows upper",1,"2012-06-12","cw",6,"c",NA,NA,NA,18,2012,6,"98_1_2012-06-12"
98,"narrows upper",1,"2012-07-19","cw",5,"c",NA,NA,NA,22,2012,7,"98_1_2012-07-19"
98,"narrows upper",1,"2012-08-20","cw",5,"c",NA,NA,NA,21,2012,8,"98_1_2012-08-20"
98,"narrows upper",1,"2012-09-20","cw",6,"c",NA,NA,NA,20.5,2012,9,"98_1_2012-09-20"
98,"narrows upper",1,"2012-10-25","cw",7,"c",NA,NA,NA,20,2012,10,"98_1_2012-10-25"
98,"narrows upper",1,"2013-05-30","cw",7,"c",NA,NA,NA,19,2013,5,"98_1_2013-05-30"
98,"narrows upper",1,"2013-06-27","cw",7,"c",NA,NA,NA,19,2013,6,"98_1_2013-06-27"
98,"narrows upper",1,"2013-07-25","cw",5,"c",NA,NA,NA,20,2013,7,"98_1_2013-07-25"
98,"narrows upper",1,"2013-08-23","cw",4.5,"c",NA,NA,NA,20,2013,8,"98_1_2013-08-23"
98,"narrows upper",1,"2013-09-18","cw",6,"c",NA,NA,NA,21.5,2013,9,"98_1_2013-09-18"
98,"narrows upper",1,"2014-05-30","cw",6,"c",NA,NA,NA,19.5,2014,5,"98_1_2014-05-30"
98,"narrows upper",1,"2014-06-19","cw",6,"c",NA,NA,NA,19,2014,6,"98_1_2014-06-19"
98,"narrows upper",1,"2014-07-17","cw",7,"c",NA,NA,NA,20,2014,7,"98_1_2014-07-17"
98,"narrows upper",1,"2014-08-28","cw",7,"c",NA,NA,NA,19,2014,8,"98_1_2014-08-28"
98,"narrows upper",1,"2014-10-07","cw",7,"c",NA,NA,NA,20,2014,10,"98_1_2014-10-07"
98,"narrows upper",1,"2015-06-03","cw",8,"c",NA,NA,NA,17,2015,6,"98_1_2015-06-03"
98,"narrows upper",1,"2015-06-17","cw",7,"c",NA,NA,NA,17.5,2015,6,"98_1_2015-06-17"
98,"narrows upper",1,"2015-07-27","cw",8,"c",NA,NA,NA,19,2015,7,"98_1_2015-07-27"
98,"narrows upper",1,"2015-08-27","cw",7,"c",NA,NA,NA,19.5,2015,8,"98_1_2015-08-27"
98,"narrows upper",1,"2015-10-27","cw",9,"c",NA,NA,NA,19,2015,10,"98_1_2015-10-27"
98,"narrows upper",1,"2016-05-19","cw",9,"c",NA,NA,NA,18,2016,5,"98_1_2016-05-19"
98,"narrows upper",1,"2016-06-07","cw",6,"c",NA,NA,NA,19,2016,6,"98_1_2016-06-07"
98,"narrows upper",1,"2016-07-12","cw",7,"c",NA,NA,NA,20,2016,7,"98_1_2016-07-12"
98,"narrows upper",1,"2016-08-15","cw",8,"c",NA,NA,NA,21,2016,8,"98_1_2016-08-15"
98,"narrows upper",1,"2016-09-22","cw",999.9,"c",NA,NA,NA,NA,2016,9,"98_1_2016-09-22"
98,"narrows upper",1,"2017-05-30","cw",8,"c",NA,NA,NA,19,2017,5,"98_1_2017-05-30"
98,"narrows upper",1,"2017-06-30","cw",6,"c",NA,NA,NA,19,2017,6,"98_1_2017-06-30"
98,"narrows upper",1,"2017-07-26","cw",6,"c",NA,NA,NA,20,2017,7,"98_1_2017-07-26"
98,"narrows upper",1,"2017-08-29","cw",6,"c",NA,NA,NA,20,2017,8,"98_1_2017-08-29"
