"lake","midas","station","date","time","agency","project","depth","type","ph","phmeth","phlab","color","aort","colrmeth","colrlab","conduct","condmeth","condlab","alk","alkmeth","alklab","sampleid","year","month"
"annabessacook",9961,1,1975-03-13,"0:00:00","ei",2,0,"g",6.7,"c","dep",25,"a","c","dep",40,"e","dep",16,"m","dep","9961_1_1975-03-13_ei",1975,3
"annabessacook",9961,1,1975-03-13,"0:00:00","ei",2,1.4,"g",6.5,"c","dep",25,"a","c","dep",40,"e","dep",19,"m","dep","9961_1_1975-03-13_ei",1975,3
"annabessacook",9961,1,1975-03-13,"0:00:00","ei",2,2.8,"g",6.1,"c","dep",30,"a","c","dep",43,"e","dep",19,"m","dep","9961_1_1975-03-13_ei",1975,3
"annabessacook",9961,1,1975-06-30,"0:00:00","ei",2,0,"g",7.6,"c","dep",30,"a","c","dep",59,"e","dep",17,"m","dep","9961_1_1975-06-30_ei",1975,6
"annabessacook",9961,1,1975-06-30,"0:00:00","ei",2,2.3,"g",6.3,"c","dep",NA,NA,NA,NA,51,"e","dep",19,"m","dep","9961_1_1975-06-30_ei",1975,6
"annabessacook",9961,1,1975-06-30,"0:00:00","ei",2,3.7,"g",7.4,"c","dep",30,"a","c","dep",59,"e","dep",19,"m","dep","9961_1_1975-06-30_ei",1975,6
"annabessacook",9961,1,1975-08-25,"0:00:00","ei",2,0,"g",7.4,"c","dep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1975-08-25_ei",1975,8
"annabessacook",9961,1,1975-08-25,"0:00:00","ei",2,12,"g",6.6,"c","dep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1975-08-25_ei",1975,8
"annabessacook",9961,1,1976-03-25,"0:00:00","ei",2,1,"g",6.5,"c","dep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1976-03-25_ei",1976,3
"annabessacook",9961,1,1976-03-25,"0:00:00","ei",2,6,"g",6.3,"c","dep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1976-03-25_ei",1976,3
"annabessacook",9961,1,1976-03-25,"0:00:00","ei",2,11,"g",6.1,"c","dep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1976-03-25_ei",1976,3
"annabessacook",9961,1,1977-05-05,"0:00:00","cw",3,1,"g",NA,NA,NA,NA,NA,NA,NA,65,"e","cwd",10,"c","cwd","9961_1_1977-05-05_cw",1977,5
"annabessacook",9961,1,1977-05-05,"0:00:00","cw",3,11,"g",NA,NA,NA,NA,NA,NA,NA,66,"e","cwd",10,"c","cwd","9961_1_1977-05-05_cw",1977,5
"annabessacook",9961,1,1977-12-02,"0:00:00","cw",3,0,"g",6.9,"c","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1977-12-02_cw",1977,12
"annabessacook",9961,1,1977-12-02,"0:00:00","cw",3,10,"g",6.8,"c","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1977-12-02_cw",1977,12
"annabessacook",9961,1,1979-05-02,"0:00:00","cw",3,1,"g",6.8,"h","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1979-05-02_cw",1979,5
"annabessacook",9961,1,1979-05-31,"0:00:00","cw",3,0,"g",6.6,"c","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1979-05-31_cw",1979,5
"annabessacook",9961,1,1979-08-02,"0:00:00","cw",3,0,"g",7.8,"c","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1979-08-02_cw",1979,8
"annabessacook",9961,1,1979-08-09,"0:00:00","cw",3,0,"g",7.7,"h","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1979-08-09_cw",1979,8
"annabessacook",9961,1,1979-08-14,"0:00:00","cw",3,0,"g",6.9,"h","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1979-08-14_cw",1979,8
"annabessacook",9961,1,1979-08-20,"0:00:00","cw",3,0,"g",7,"h","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1979-08-20_cw",1979,8
"annabessacook",9961,1,1979-08-21,"0:00:00","cw",3,0,"g",7.3,"h","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1979-08-21_cw",1979,8
"annabessacook",9961,1,1979-08-24,"0:00:00","cw",3,0,"g",7.3,"h","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1979-08-24_cw",1979,8
"annabessacook",9961,1,1979-08-28,"0:00:00","cw",3,0,"g",7.7,"h","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1979-08-28_cw",1979,8
"annabessacook",9961,1,1979-08-30,"0:00:00","cw",3,0,"g",7.6,"h","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1979-08-30_cw",1979,8
"annabessacook",9961,1,1979-09-05,"0:00:00","cw",3,0,"g",7.2,"c","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1979-09-05_cw",1979,9
"annabessacook",9961,1,1979-09-12,"0:00:00","cw",3,0,"g",7,"h","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1979-09-12_cw",1979,9
"annabessacook",9961,1,1979-09-20,"0:00:00","cw",3,0,"g",7,"h","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1979-09-20_cw",1979,9
"annabessacook",9961,1,1979-09-26,"0:00:00","cw",3,0,"g",7,"h","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1979-09-26_cw",1979,9
"annabessacook",9961,1,1979-10-03,"0:00:00","cw",3,0,"g",7.1,"h","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1979-10-03_cw",1979,10
"annabessacook",9961,1,1979-10-16,"0:00:00","cw",3,0,"g",6.8,"h","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1979-10-16_cw",1979,10
"annabessacook",9961,1,1979-10-30,"0:00:00","cw",3,0,"g",7.1,"h","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1979-10-30_cw",1979,10
"annabessacook",9961,1,1979-11-15,"0:00:00","cw",3,0,"g",6.8,"c","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1979-11-15_cw",1979,11
"annabessacook",9961,1,1982-03-12,"0:00:00","cw",3,0,"g",6.55,"c","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1982-03-12_cw",1982,3
"annabessacook",9961,1,1982-03-12,"0:00:00","cw",3,11.5,"g",6.55,"c","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1982-03-12_cw",1982,3
"annabessacook",9961,1,1984-06-21,"0:00:00","cw",3,1,"g",8,"c","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1984-06-21_cw",1984,6
"annabessacook",9961,1,1984-07-20,"0:00:00","cw",3,5,"c",7.7,"c","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1984-07-20_cw",1984,7
"annabessacook",9961,1,1984-08-07,"0:00:00","cw",3,1,"g",8.5,"c","cwd",NA,NA,NA,NA,59,"e","cwd",NA,NA,NA,"9961_1_1984-08-07_cw",1984,8
"annabessacook",9961,1,1984-08-07,"0:00:00","cw",3,9,"g",6.5,"c","cwd",NA,NA,NA,NA,59,"e","cwd",NA,NA,NA,"9961_1_1984-08-07_cw",1984,8
"annabessacook",9961,1,1984-09-05,"0:00:00","cw",3,1,"g",8.5,"c","cwd",NA,NA,NA,NA,52,"e","cwd",NA,NA,NA,"9961_1_1984-09-05_cw",1984,9
"annabessacook",9961,1,1984-09-05,"0:00:00","cw",3,9,"g",6.6,"c","cwd",NA,NA,NA,NA,63,"e","cwd",NA,NA,NA,"9961_1_1984-09-05_cw",1984,9
"annabessacook",9961,1,1984-09-21,"0:00:00","cw",3,1,"g",7.2,"c","cwd",NA,NA,NA,NA,48,"e","cwd",NA,NA,NA,"9961_1_1984-09-21_cw",1984,9
"annabessacook",9961,1,1984-10-03,"0:00:00","cw",3,1,"g",7,"c","cwd",NA,NA,NA,NA,48,"e","cwd",NA,NA,NA,"9961_1_1984-10-03_cw",1984,10
"annabessacook",9961,1,1985-04-23,"0:00:00","cw",3,0.5,"g",7.3,"h","cwd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9961_1_1985-04-23_cw",1985,4
"annabessacook",9961,1,1985-08-27,"0:00:00","cw",3,0.5,"g",8,"c","cwd",NA,NA,NA,NA,59,"e","cwd",NA,NA,NA,"9961_1_1985-08-27_cw",1985,8
