"lake","midas","station","date","agency","depth","type","chla","r","db","sampID","year","month"
"annabessacook","9961","2",1988-10-11,"cw",5,"c",16,NA,"dep","9961_2_1988-10-11_cw",1988,10
"annabessacook","9961","1",1975-03-13,"ei",NA,"c",1,NA,"dep","9961_1_1975-03-13_ei",1975,3
"annabessacook","9961","1",1975-06-30,"ei",NA,"c",5.4,NA,"dep","9961_1_1975-06-30_ei",1975,6
"annabessacook","9961","1",1976-03-25,"ei",NA,"c",2.1,NA,"dep","9961_1_1976-03-25_ei",1976,3
"annabessacook","9961","1",1976-04-21,"cw",NA,"c",8.2,NA,"dep","9961_1_1976-04-21_cw",1976,4
"annabessacook","9961","1",1976-05-17,"cw",NA,"c",5.4,NA,"dep","9961_1_1976-05-17_cw",1976,5
"annabessacook","9961","1",1976-06-10,"cw",NA,"c",4.5,NA,"dep","9961_1_1976-06-10_cw",1976,6
"annabessacook","9961","1",1976-07-08,"cw",NA,"c",4.8,NA,"dep","9961_1_1976-07-08_cw",1976,7
"annabessacook","9961","1",1976-07-26,"cw",NA,"c",7.6,NA,"dep","9961_1_1976-07-26_cw",1976,7
"annabessacook","9961","1",1976-08-05,"cw",NA,"c",8.3,NA,"dep","9961_1_1976-08-05_cw",1976,8
"annabessacook","9961","1",1976-08-19,"cw",NA,"c",5.2,NA,"dep","9961_1_1976-08-19_cw",1976,8
"annabessacook","9961","1",1976-09-03,"cw",NA,"c",14.9,NA,"dep","9961_1_1976-09-03_cw",1976,9
"annabessacook","9961","1",1976-10-01,"cw",NA,"c",20.5,NA,"dep","9961_1_1976-10-01_cw",1976,10
"annabessacook","9961","1",1976-10-18,"cw",NA,"c",10.8,NA,"dep","9961_1_1976-10-18_cw",1976,10
"annabessacook","9961","1",1977-05-05,"ei",10,"c",15.6,NA,"dep","9961_1_1977-05-05_ei",1977,5
"annabessacook","9961","1",1977-05-26,"ei",10,"c",7.4,NA,"dep","9961_1_1977-05-26_ei",1977,5
"annabessacook","9961","1",1977-06-10,"ei",10,"c",9.4,NA,"dep","9961_1_1977-06-10_ei",1977,6
"annabessacook","9961","1",1977-06-23,"ei",10,"c",13.8,NA,"dep","9961_1_1977-06-23_ei",1977,6
"annabessacook","9961","1",1977-07-11,"ei",10,"c",9.6,NA,"dep","9961_1_1977-07-11_ei",1977,7
"annabessacook","9961","1",1977-07-21,"ei",5,"c",27.7,NA,"dep","9961_1_1977-07-21_ei",1977,7
"annabessacook","9961","1",1977-07-21,"ei",10,"c",16.9,NA,"dep","9961_1_1977-07-21_ei",1977,7
"annabessacook","9961","1",1977-08-02,"ei",1,"c",58.3,NA,"dep","9961_1_1977-08-02_ei",1977,8
"annabessacook","9961","1",1977-08-02,"ei",7,"c",5,NA,"dep","9961_1_1977-08-02_ei",1977,8
"annabessacook","9961","1",1977-08-09,"cw",2,"g",13.7,NA,"dep","9961_1_1977-08-09_cw",1977,8
"annabessacook","9961","1",1977-08-09,"cw",5,"g",3.6,NA,"dep","9961_1_1977-08-09_cw",1977,8
"annabessacook","9961","1",1977-08-09,"ei",NA,"c",33,NA,"dep","9961_1_1977-08-09_ei",1977,8
"annabessacook","9961","1",1977-09-15,"ei",NA,"c",15.6,NA,"dep","9961_1_1977-09-15_ei",1977,9
"annabessacook","9961","1",1977-09-30,"cw",5,"c",33.3,NA,"dep","9961_1_1977-09-30_cw",1977,9
"annabessacook","9961","1",1977-10-10,"cw",5,"c",17.8,NA,"dep","9961_1_1977-10-10_cw",1977,10
"annabessacook","9961","1",1977-11-03,"ei",0,"g",8,NA,"dep","9961_1_1977-11-03_ei",1977,11
"annabessacook","9961","1",1977-11-03,"ei",6,"g",10.5,NA,"dep","9961_1_1977-11-03_ei",1977,11
"annabessacook","9961","1",1977-12-02,"ei",5,"c",8.7,NA,"dep","9961_1_1977-12-02_ei",1977,12
"annabessacook","9961","1",1978-01-03,"ei",20,"c",3.7,NA,"dep","9961_1_1978-01-03_ei",1978,1
"annabessacook","9961","1",1978-02-09,"cw",3,"g",2,NA,"dep","9961_1_1978-02-09_cw",1978,2
"annabessacook","9961","1",1978-02-09,"cw",6,"g",1.1,NA,"dep","9961_1_1978-02-09_cw",1978,2
"annabessacook","9961","1",1978-03-20,"cw",3,"g",1.7,NA,"dep","9961_1_1978-03-20_cw",1978,3
"annabessacook","9961","1",1978-06-06,"cw",5,"c",6.2,NA,"dep","9961_1_1978-06-06_cw",1978,6
"annabessacook","9961","1",1978-06-23,"cw",5,"c",5.8,NA,"dep","9961_1_1978-06-23_cw",1978,6
"annabessacook","9961","1",1978-07-03,"cw",5,"c",16.8,NA,"dep","9961_1_1978-07-03_cw",1978,7
"annabessacook","9961","1",1978-07-14,"cw",5,"c",26.3,NA,"dep","9961_1_1978-07-14_cw",1978,7
"annabessacook","9961","1",1978-07-21,"cw",5,"c",41.8,NA,"dep","9961_1_1978-07-21_cw",1978,7
"annabessacook","9961","1",1978-07-31,"cw",5,"c",28,NA,"dep","9961_1_1978-07-31_cw",1978,7
"annabessacook","9961","1",1978-08-07,"cw",3,"g",33.2,NA,"dep","9961_1_1978-08-07_cw",1978,8
"annabessacook","9961","1",1978-08-30,"cw",5,"c",13.2,NA,"dep","9961_1_1978-08-30_cw",1978,8
"annabessacook","9961","1",1978-09-08,"cw",5,"c",17.7,NA,"dep","9961_1_1978-09-08_cw",1978,9
"annabessacook","9961","1",1978-09-13,"cw",5,"c",20.3,NA,"dep","9961_1_1978-09-13_cw",1978,9
"annabessacook","9961","1",1978-09-19,"cw",5,"c",18.6,NA,"dep","9961_1_1978-09-19_cw",1978,9
"annabessacook","9961","1",1978-09-25,"cw",5,"c",12.9,NA,"dep","9961_1_1978-09-25_cw",1978,9
"annabessacook","9961","1",1978-10-03,"cw",5,"c",24.9,NA,"dep","9961_1_1978-10-03_cw",1978,10
"annabessacook","9961","1",1978-10-24,"cw",5,"c",13.4,NA,"dep","9961_1_1978-10-24_cw",1978,10
"annabessacook","9961","1",1978-11-07,"cw",5,"c",10.2,NA,"dep","9961_1_1978-11-07_cw",1978,11
"annabessacook","9961","1",1978-11-27,"cw",5,"c",7.7,NA,"dep","9961_1_1978-11-27_cw",1978,11
"annabessacook","9961","1",1978-12-22,"cw",5,"c",4.2,NA,"dep","9961_1_1978-12-22_cw",1978,12
"annabessacook","9961","1",1979-01-24,"cw",5,"c",2,NA,"dep","9961_1_1979-01-24_cw",1979,1
"annabessacook","9961","1",1979-02-28,"cw",5,"c",3.8,NA,"dep","9961_1_1979-02-28_cw",1979,2
"annabessacook","9961","1",1979-03-16,"cw",5,"c",3.6,NA,"dep","9961_1_1979-03-16_cw",1979,3
"annabessacook","9961","1",1979-04-18,"ei",10,"c",3.7,NA,"dep","9961_1_1979-04-18_ei",1979,4
"annabessacook","9961","1",1979-04-20,"cw",10,"c",4.7,NA,"dep","9961_1_1979-04-20_cw",1979,4
"annabessacook","9961","1",1979-05-02,"cw",10,"c",5.9,NA,"dep","9961_1_1979-05-02_cw",1979,5
"annabessacook","9961","1",1979-05-15,"cw",10,"c",5.3,NA,"dep","9961_1_1979-05-15_cw",1979,5
"annabessacook","9961","1",1979-05-31,"ei",10,"c",3.1,NA,"dep","9961_1_1979-05-31_ei",1979,5
"annabessacook","9961","1",1979-06-12,"ei",10,"c",4.3,NA,"dep","9961_1_1979-06-12_ei",1979,6
"annabessacook","9961","1",1979-06-20,"cw",10,"c",4.5,NA,"dep","9961_1_1979-06-20_cw",1979,6
"annabessacook","9961","1",1979-06-27,"cw",7,"c",5.3,NA,"dep","9961_1_1979-06-27_cw",1979,6
"annabessacook","9961","1",1979-07-03,"cw",7,"c",4.5,NA,"dep","9961_1_1979-07-03_cw",1979,7
"annabessacook","9961","1",1979-07-12,"cw",7,"c",4.8,NA,"dep","9961_1_1979-07-12_cw",1979,7
"annabessacook","9961","1",1979-07-17,"cw",7,"c",5.3,NA,"dep","9961_1_1979-07-17_cw",1979,7
"annabessacook","9961","1",1979-07-20,"cw",6,"c",7.5,NA,"dep","9961_1_1979-07-20_cw",1979,7
"annabessacook","9961","1",1979-07-25,"cw",1,"g",12.6,NA,"dep","9961_1_1979-07-25_cw",1979,7
"annabessacook","9961","1",1979-07-25,"cw",2,"g",10.1,NA,"dep","9961_1_1979-07-25_cw",1979,7
"annabessacook","9961","1",1979-07-25,"cw",3,"g",9.6,NA,"dep","9961_1_1979-07-25_cw",1979,7
"annabessacook","9961","1",1979-07-25,"cw",4,"g",8.6,NA,"dep","9961_1_1979-07-25_cw",1979,7
"annabessacook","9961","1",1979-07-25,"cw",5,"g",7.5,NA,"dep","9961_1_1979-07-25_cw",1979,7
"annabessacook","9961","1",1979-07-25,"cw",6,"g",98.9,NA,"dep","9961_1_1979-07-25_cw",1979,7
"annabessacook","9961","1",1979-08-02,"cw",6,"c",10.3,NA,"dep","9961_1_1979-08-02_cw",1979,8
"annabessacook","9961","1",1979-08-09,"cw",5,"c",13,NA,"dep","9961_1_1979-08-09_cw",1979,8
"annabessacook","9961","1",1979-08-14,"cw",6,"c",13.7,NA,"dep","9961_1_1979-08-14_cw",1979,8
"annabessacook","9961","1",1979-08-14,"cw",6,"c",14.4,NA,"dep","9961_1_1979-08-14_cw",1979,8
"annabessacook","9961","1",1979-08-21,"cw",6,"c",16.8,NA,"dep","9961_1_1979-08-21_cw",1979,8
"annabessacook","9961","1",1979-08-24,"cw",8,"c",12.3,NA,"dep","9961_1_1979-08-24_cw",1979,8
"annabessacook","9961","1",1979-08-28,"cw",6,"c",11.8,NA,"dep","9961_1_1979-08-28_cw",1979,8
"annabessacook","9961","1",1979-08-30,"cw",6,"c",11.5,NA,"dep","9961_1_1979-08-30_cw",1979,8
"annabessacook","9961","1",1979-09-05,"cw",6,"c",5.4,NA,"dep","9961_1_1979-09-05_cw",1979,9
"annabessacook","9961","1",1979-09-05,"cw",6,"c",5.5,NA,"dep","9961_1_1979-09-05_cw",1979,9
"annabessacook","9961","1",1979-09-10,"cw",7,"c",8.8,NA,"dep","9961_1_1979-09-10_cw",1979,9
"annabessacook","9961","1",1979-09-12,"cw",7,"c",11.8,NA,"dep","9961_1_1979-09-12_cw",1979,9
"annabessacook","9961","1",1979-09-14,"cw",8,"c",10.8,NA,"dep","9961_1_1979-09-14_cw",1979,9
"annabessacook","9961","1",1979-09-14,"cw",8,"c",11.3,NA,"dep","9961_1_1979-09-14_cw",1979,9
"annabessacook","9961","1",1979-09-20,"cw",8,"c",7.6,NA,"dep","9961_1_1979-09-20_cw",1979,9
"annabessacook","9961","1",1979-09-26,"cw",10,"c",7.4,NA,"dep","9961_1_1979-09-26_cw",1979,9
"annabessacook","9961","1",1979-10-03,"cw",10,"c",6.9,NA,"dep","9961_1_1979-10-03_cw",1979,10
"annabessacook","9961","1",1979-10-16,"cw",10,"c",6.3,NA,"dep","9961_1_1979-10-16_cw",1979,10
"annabessacook","9961","1",1979-10-30,"cw",10,"c",8.9,NA,"dep","9961_1_1979-10-30_cw",1979,10
"annabessacook","9961","1",1979-10-30,"ei",10,"c",9.1,NA,"dep","9961_1_1979-10-30_ei",1979,10
"annabessacook","9961","1",1979-11-15,"cw",10,"c",9.1,NA,"dep","9961_1_1979-11-15_cw",1979,11
"annabessacook","9961","1",1980-01-21,"cw",10,"c",3.6,NA,"dep","9961_1_1980-01-21_cw",1980,1
"annabessacook","9961","1",1980-01-21,"cw",10,"c",4.9,NA,"dep","9961_1_1980-01-21_cw",1980,1
"annabessacook","9961","1",1980-02-20,"cw",10,"c",5.2,NA,"dep","9961_1_1980-02-20_cw",1980,2
"annabessacook","9961","1",1980-02-20,"cw",10,"c",5.8,NA,"dep","9961_1_1980-02-20_cw",1980,2
"annabessacook","9961","1",1980-03-26,"cw",10,"c",6.1,NA,"dep","9961_1_1980-03-26_cw",1980,3
"annabessacook","9961","1",1980-03-26,"cw",10,"c",6.4,NA,"dep","9961_1_1980-03-26_cw",1980,3
"annabessacook","9961","1",1980-04-14,"cw",10,"c",8.7,NA,"dep","9961_1_1980-04-14_cw",1980,4
"annabessacook","9961","1",1980-04-14,"cw",10,"c",9.3,NA,"dep","9961_1_1980-04-14_cw",1980,4
"annabessacook","9961","1",1980-04-22,"cw",10,"c",6.2,NA,"dep","9961_1_1980-04-22_cw",1980,4
"annabessacook","9961","1",1980-04-22,"cw",10,"c",6.3,NA,"dep","9961_1_1980-04-22_cw",1980,4
"annabessacook","9961","1",1980-05-05,"cw",10,"c",6,NA,"dep","9961_1_1980-05-05_cw",1980,5
"annabessacook","9961","1",1980-05-15,"cw",10,"c",5.4,NA,"dep","9961_1_1980-05-15_cw",1980,5
"annabessacook","9961","1",1980-06-06,"cw",10,"c",4.5,NA,"dep","9961_1_1980-06-06_cw",1980,6
"annabessacook","9961","1",1980-06-19,"cw",10,"c",4.2,NA,"dep","9961_1_1980-06-19_cw",1980,6
"annabessacook","9961","1",1980-06-19,"cw",10,"c",4.3,NA,"dep","9961_1_1980-06-19_cw",1980,6
"annabessacook","9961","1",1980-06-25,"cw",7,"c",4.5,NA,"dep","9961_1_1980-06-25_cw",1980,6
"annabessacook","9961","1",1980-07-10,"cw",8,"c",4.2,NA,"dep","9961_1_1980-07-10_cw",1980,7
"annabessacook","9961","1",1980-07-16,"cw",8,"c",6.2,NA,"dep","9961_1_1980-07-16_cw",1980,7
