"lake","midas","station","date","time","agency","project","depth","type","chla","r","l","flag","year","month"
"annabessacook","9961","2",1988-10-11,"0:00:00","cw","3",5,"c",16,NA,"",NA,1988,10
"annabessacook","9961","1",1975-03-13,"0:00:00","ei","2",NA,"c",1,NA,"",NA,1975,3
"annabessacook","9961","1",1975-06-30,"0:00:00","ei","2",NA,"c",5.4,NA,"",NA,1975,6
"annabessacook","9961","1",1976-03-25,"0:00:00","ei","2",NA,"c",2.1,NA,"",NA,1976,3
"annabessacook","9961","1",1976-04-21,"0:00:00","cw","3",NA,"c",8.2,NA,"",NA,1976,4
"annabessacook","9961","1",1976-05-17,"0:00:00","cw","3",NA,"c",5.4,NA,"",NA,1976,5
"annabessacook","9961","1",1976-06-10,"0:00:00","cw","3",NA,"c",4.5,NA,"",NA,1976,6
"annabessacook","9961","1",1976-07-08,"0:00:00","cw","3",NA,"c",4.8,NA,"",NA,1976,7
"annabessacook","9961","1",1976-07-26,"0:00:00","cw","3",NA,"c",7.6,NA,"",NA,1976,7
"annabessacook","9961","1",1976-08-05,"0:00:00","cw","3",NA,"c",8.3,NA,"",NA,1976,8
"annabessacook","9961","1",1976-08-19,"0:00:00","cw","3",NA,"c",5.2,NA,"",NA,1976,8
"annabessacook","9961","1",1976-09-03,"0:00:00","cw","3",NA,"c",14.9,NA,"",NA,1976,9
"annabessacook","9961","1",1976-10-01,"0:00:00","cw","3",NA,"c",20.5,NA,"",NA,1976,10
"annabessacook","9961","1",1976-10-18,"0:00:00","cw","3",NA,"c",10.8,NA,"",NA,1976,10
"annabessacook","9961","1",1977-05-05,"0:00:00","ei","2",10,"c",15.6,NA,"",NA,1977,5
"annabessacook","9961","1",1977-05-26,"0:00:00","ei","2",10,"c",7.4,NA,"",NA,1977,5
"annabessacook","9961","1",1977-06-10,"0:00:00","ei","2",10,"c",9.4,NA,"",NA,1977,6
"annabessacook","9961","1",1977-06-23,"0:00:00","ei","2",10,"c",13.8,NA,"",NA,1977,6
"annabessacook","9961","1",1977-07-11,"0:00:00","ei","2",10,"c",9.6,NA,"",NA,1977,7
"annabessacook","9961","1",1977-07-21,"0:00:00","ei","2",5,"c",27.7,NA,"",NA,1977,7
"annabessacook","9961","1",1977-07-21,"0:00:00","ei","2",10,"c",16.9,NA,"",NA,1977,7
"annabessacook","9961","1",1977-08-02,"0:00:00","ei","2",1,"c",58.3,NA,"",NA,1977,8
"annabessacook","9961","1",1977-08-02,"0:00:00","ei","2",7,"c",5,NA,"",NA,1977,8
"annabessacook","9961","1",1977-08-09,"0:00:00","cw","3",2,"g",13.7,NA,"",NA,1977,8
"annabessacook","9961","1",1977-08-09,"0:00:00","cw","3",5,"g",3.6,NA,"",NA,1977,8
"annabessacook","9961","1",1977-08-09,"0:00:00","ei","2",NA,"c",33,NA,"",NA,1977,8
"annabessacook","9961","1",1977-09-15,"0:00:00","ei","2",NA,"c",15.6,NA,"",NA,1977,9
"annabessacook","9961","1",1977-09-30,"0:00:00","cw","3",5,"c",33.3,NA,"",NA,1977,9
"annabessacook","9961","1",1977-10-10,"0:00:00","cw","3",5,"c",17.8,NA,"",NA,1977,10
"annabessacook","9961","1",1977-11-03,"0:00:00","ei","2",0,"g",8,NA,"",NA,1977,11
"annabessacook","9961","1",1977-11-03,"0:00:00","ei","2",6,"g",10.5,NA,"",NA,1977,11
"annabessacook","9961","1",1977-12-02,"0:00:00","ei","2",5,"c",8.7,NA,"",NA,1977,12
"annabessacook","9961","1",1978-01-03,"0:00:00","ei","2",20,"c",3.7,NA,"",NA,1978,1
"annabessacook","9961","1",1978-02-09,"0:00:00","cw","3",3,"g",2,NA,"",NA,1978,2
"annabessacook","9961","1",1978-02-09,"0:00:00","cw","3",6,"g",1.1,NA,"",NA,1978,2
"annabessacook","9961","1",1978-03-20,"0:00:00","cw","3",3,"g",1.7,NA,"",NA,1978,3
"annabessacook","9961","1",1978-06-06,"0:00:00","cw","3",5,"c",6.2,NA,"",NA,1978,6
"annabessacook","9961","1",1978-06-23,"0:00:00","cw","3",5,"c",5.8,NA,"",NA,1978,6
"annabessacook","9961","1",1978-07-03,"0:00:00","cw","3",5,"c",16.8,NA,"",NA,1978,7
"annabessacook","9961","1",1978-07-14,"0:00:00","cw","3",5,"c",26.3,NA,"",NA,1978,7
"annabessacook","9961","1",1978-07-21,"0:00:00","cw","3",5,"c",41.8,NA,"",NA,1978,7
"annabessacook","9961","1",1978-07-31,"0:00:00","cw","3",5,"c",28,NA,"",NA,1978,7
"annabessacook","9961","1",1978-08-07,"0:00:00","cw","3",3,"g",33.2,NA,"",NA,1978,8
"annabessacook","9961","1",1978-08-30,"0:00:00","cw","3",5,"c",13.2,NA,"",NA,1978,8
"annabessacook","9961","1",1978-09-08,"0:00:00","cw","3",5,"c",17.7,NA,"",NA,1978,9
"annabessacook","9961","1",1978-09-13,"0:00:00","cw","3",5,"c",20.3,NA,"",NA,1978,9
"annabessacook","9961","1",1978-09-19,"0:00:00","cw","3",5,"c",18.6,NA,"",NA,1978,9
"annabessacook","9961","1",1978-09-25,"0:00:00","cw","3",5,"c",12.9,NA,"",NA,1978,9
"annabessacook","9961","1",1978-10-03,"0:00:00","cw","3",5,"c",24.9,NA,"",NA,1978,10
"annabessacook","9961","1",1978-10-24,"0:00:00","cw","3",5,"c",13.4,NA,"",NA,1978,10
"annabessacook","9961","1",1978-11-07,"0:00:00","cw","3",5,"c",10.2,NA,"",NA,1978,11
"annabessacook","9961","1",1978-11-27,"0:00:00","cw","3",5,"c",7.7,NA,"",NA,1978,11
"annabessacook","9961","1",1978-12-22,"0:00:00","cw","3",5,"c",4.2,NA,"",NA,1978,12
"annabessacook","9961","1",1979-01-24,"0:00:00","cw","3",5,"c",2,NA,"",NA,1979,1
"annabessacook","9961","1",1979-02-28,"0:00:00","cw","3",5,"c",3.8,NA,"",NA,1979,2
"annabessacook","9961","1",1979-03-16,"0:00:00","cw","3",5,"c",3.6,NA,"",NA,1979,3
"annabessacook","9961","1",1979-04-18,"0:00:00","ei","3",10,"c",3.7,NA,"",NA,1979,4
"annabessacook","9961","1",1979-04-20,"0:00:00","cw","3",10,"c",4.7,NA,"",NA,1979,4
"annabessacook","9961","1",1979-05-02,"0:00:00","cw","3",10,"c",5.9,NA,"",NA,1979,5
"annabessacook","9961","1",1979-05-15,"0:00:00","cw","3",10,"c",5.3,NA,"",NA,1979,5
"annabessacook","9961","1",1979-05-31,"0:00:00","ei","2",10,"c",3.1,NA,"",NA,1979,5
"annabessacook","9961","1",1979-06-12,"0:00:00","ei","3",10,"c",4.3,NA,"",NA,1979,6
"annabessacook","9961","1",1979-06-20,"0:00:00","cw","3",10,"c",4.5,NA,"",NA,1979,6
"annabessacook","9961","1",1979-06-27,"0:00:00","cw","3",7,"c",5.3,NA,"",NA,1979,6
"annabessacook","9961","1",1979-07-03,"0:00:00","cw","3",7,"c",4.5,NA,"",NA,1979,7
