"lake","midas","station","date","time","agency","project","depth","type","tp_ppm","rep","lab","count","qual","year","month"
"annabessacook","9961",1,1997-05-21,"0:00:00","cw","3",0.5,"g",0.01,1,"d",6,"pg",1997,5
"annabessacook","9961",1,1997-05-21,"0:00:00","cw","3",2.5,"g",0.01,1,"d",6,"pg",1997,5
"annabessacook","9961",1,1997-05-21,"0:00:00","cw","3",4.5,"g",0.01,1,"d",6,"pg",1997,5
"annabessacook","9961",1,1997-05-21,"0:00:00","cw","3",6.5,"g",0.01,1,"d",6,"pg",1997,5
"annabessacook","9961",1,1997-05-21,"0:00:00","cw","3",8.5,"g",0.01,1,"d",6,"pg",1997,5
"annabessacook","9961",1,1997-05-21,"0:00:00","cw","3",10,"g",0.01,1,"d",6,"pg",1997,5
"annabessacook","9961",1,1997-06-11,"0:00:00","cw","3",0.5,"g",0.01,1,"d",6,"pg",1997,6
"annabessacook","9961",1,1997-06-11,"0:00:00","cw","3",2.5,"g",0.01,1,"d",6,"pg",1997,6
"annabessacook","9961",1,1997-06-11,"0:00:00","cw","3",4.5,"g",0.02,1,"d",6,"pg",1997,6
"annabessacook","9961",1,1997-06-11,"0:00:00","cw","3",6.5,"g",0.01,1,"d",6,"pg",1997,6
"annabessacook","9961",1,1997-06-11,"0:00:00","cw","3",8.5,"g",0.02,1,"d",6,"pg",1997,6
"annabessacook","9961",1,1997-06-11,"0:00:00","cw","3",10.5,"g",0.02,1,"d",6,"pg",1997,6
"annabessacook","9961",1,1997-07-07,"0:00:00","cw","3",0.5,"g",0.01,1,"d",1,"sg",1997,7
"annabessacook","9961",1,1997-07-07,"0:00:00","cw","3",2.5,"c",0.01,1,"d",1,"ec",1997,7
"annabessacook","9961",1,1997-07-07,"0:00:00","cw","3",4.5,"c",0.01,1,"d",1,"ec",1997,7
"annabessacook","9961",1,1997-07-07,"0:00:00","cw","3",6.5,"c",0.01,1,"d",1,"ec",1997,7
"annabessacook","9961",1,1997-07-07,"0:00:00","cw","3",8.5,"c",0.02,1,"d",1,"ec",1997,7
"annabessacook","9961",1,1997-07-07,"0:00:00","cw","3",10.5,"c",0.03,1,"d",1,"ec",1997,7
"annabessacook","9961",1,1997-07-07,"0:00:00","cw","3",12.5,"c",0.08,1,"d",1,"ec",1997,7
"annabessacook","9961",1,1997-08-08,"0:00:00","cw","3",0.5,"g",0.01,1,"d",6,"pg",1997,8
"annabessacook","9961",1,1997-08-08,"0:00:00","cw","3",2.5,"g",0.01,1,"d",6,"pg",1997,8
"annabessacook","9961",1,1997-08-08,"0:00:00","cw","3",4.5,"g",0.02,1,"d",6,"pg",1997,8
"annabessacook","9961",1,1997-08-08,"0:00:00","cw","3",6.5,"g",0.02,1,"d",6,"pg",1997,8
"annabessacook","9961",1,1997-08-08,"0:00:00","cw","3",8.5,"g",0.04,1,"d",6,"pg",1997,8
"annabessacook","9961",1,1997-08-08,"0:00:00","cw","3",10.5,"g",0.08,1,"d",6,"pg",1997,8
"annabessacook","9961",1,1997-09-04,"0:00:00","cw","3",0.5,"g",0.02,1,"d",6,"pg",1997,9
"annabessacook","9961",1,1997-09-04,"0:00:00","cw","3",2.5,"g",0.02,1,"d",6,"pg",1997,9
"annabessacook","9961",1,1997-09-04,"0:00:00","cw","3",4.5,"g",0.02,1,"d",6,"pg",1997,9
"annabessacook","9961",1,1997-09-04,"0:00:00","cw","3",6.5,"g",0.02,1,"d",6,"pg",1997,9
"annabessacook","9961",1,1997-09-04,"0:00:00","cw","3",8.5,"g",0.11,1,"d",6,"pg",1997,9
"annabessacook","9961",1,1997-09-04,"0:00:00","cw","3",10.5,"g",0.19,1,"d",6,"pg",1997,9
"annabessacook","9961",1,1997-10-07,"0:00:00","cw","3",0.5,"g",0.03,1,"d",6,"pg",1997,10
"annabessacook","9961",1,1997-10-07,"0:00:00","cw","3",2.5,"g",0.03,1,"d",6,"pg",1997,10
"annabessacook","9961",1,1997-10-07,"0:00:00","cw","3",4.5,"g",0.03,1,"d",6,"pg",1997,10
"annabessacook","9961",1,1997-10-07,"0:00:00","cw","3",6.5,"g",0.03,1,"d",6,"pg",1997,10
"annabessacook","9961",1,1997-10-07,"0:00:00","cw","3",8.5,"g",0.03,1,"d",6,"pg",1997,10
"annabessacook","9961",1,1997-10-07,"0:00:00","cw","3",9.5,"g",0.03,1,"d",6,"pg",1997,10
"annabessacook","9961",1,1998-05-20,"0:00:00","cw","3",0.5,"g",0.01,1,"d",7,"pg",1998,5
"annabessacook","9961",1,1998-05-20,"0:00:00","cw","3",2.5,"g",0.01,1,"d",7,"pg",1998,5
"annabessacook","9961",1,1998-05-20,"0:00:00","cw","3",4.5,"g",0.01,1,"d",7,"pg",1998,5
"annabessacook","9961",1,1998-05-20,"0:00:00","cw","3",6.5,"g",0.01,1,"d",7,"pg",1998,5
"annabessacook","9961",1,1998-05-20,"0:00:00","cw","3",8.5,"g",0.01,1,"d",7,"pg",1998,5
"annabessacook","9961",1,1998-05-20,"0:00:00","cw","3",10.5,"g",0.02,1,"d",7,"pg",1998,5
"annabessacook","9961",1,1998-05-20,"0:00:00","cw","3",12.5,"g",0.02,1,"d",7,"pg",1998,5
"annabessacook","9961",1,1998-06-22,"0:00:00","cw","3",0.5,"g",0.01,1,"d",7,"pg",1998,6
"annabessacook","9961",1,1998-06-22,"0:00:00","cw","3",2.5,"g",0.01,1,"d",7,"pg",1998,6
"annabessacook","9961",1,1998-06-22,"0:00:00","cw","3",4.5,"g",0.01,1,"d",7,"pg",1998,6
"annabessacook","9961",1,1998-06-22,"0:00:00","cw","3",6.5,"g",0.01,1,"d",7,"pg",1998,6
"annabessacook","9961",1,1998-06-22,"0:00:00","cw","3",8.5,"g",0.01,1,"d",7,"pg",1998,6
"annabessacook","9961",1,1998-06-22,"0:00:00","cw","3",10.5,"g",0.02,1,"d",7,"pg",1998,6
"annabessacook","9961",1,1998-06-22,"0:00:00","cw","3",12.5,"g",0.08,1,"d",7,"pg",1998,6
"annabessacook","9961",1,1998-07-22,"0:00:00","cw","3",0.5,"g",0.01,1,"d",7,"pg",1998,7
"annabessacook","9961",1,1998-07-22,"0:00:00","cw","3",2.5,"g",0.01,1,"d",7,"pg",1998,7
"annabessacook","9961",1,1998-07-22,"0:00:00","cw","3",4.5,"g",0.01,1,"d",7,"pg",1998,7
"annabessacook","9961",1,1998-07-22,"0:00:00","cw","3",6.5,"g",0.01,1,"d",7,"pg",1998,7
"annabessacook","9961",1,1998-07-22,"0:00:00","cw","3",8.5,"g",0.02,1,"d",7,"pg",1998,7
"annabessacook","9961",1,1998-07-22,"0:00:00","cw","3",10.5,"g",0.04,1,"d",7,"pg",1998,7
"annabessacook","9961",1,1998-07-22,"0:00:00","cw","3",12.5,"g",0.09,1,"d",7,"pg",1998,7
"annabessacook","9961",1,1998-08-21,"0:00:00","cw","3",0.5,"g",0.01,1,"d",7,"pg",1998,8
"annabessacook","9961",1,1998-08-21,"0:00:00","cw","3",2.5,"g",0.01,1,"d",7,"pg",1998,8
"annabessacook","9961",1,1998-08-21,"0:00:00","cw","3",4.5,"g",0.01,1,"d",7,"pg",1998,8
"annabessacook","9961",1,1998-08-21,"0:00:00","cw","3",6.5,"g",0.02,1,"d",7,"pg",1998,8
"annabessacook","9961",1,1998-08-21,"0:00:00","cw","3",8.5,"g",0.09,1,"d",7,"pg",1998,8
"annabessacook","9961",1,1998-08-21,"0:00:00","cw","3",10.5,"g",0.19,1,"d",7,"pg",1998,8
"annabessacook","9961",1,1998-08-21,"0:00:00","cw","3",12.5,"g",0.26,1,"d",7,"pg",1998,8
"annabessacook","9961",1,1998-09-11,"0:00:00","cw","3",0.5,"g",0.02,1,"d",7,"pg",1998,9
"annabessacook","9961",1,1998-09-11,"0:00:00","cw","3",2.5,"g",0.02,1,"d",7,"pg",1998,9
"annabessacook","9961",1,1998-09-11,"0:00:00","cw","3",4.5,"g",0.02,1,"d",7,"pg",1998,9
"annabessacook","9961",1,1998-09-11,"0:00:00","cw","3",6.5,"g",0.02,1,"d",7,"pg",1998,9
"annabessacook","9961",1,1998-09-11,"0:00:00","cw","3",8.5,"g",0.03,1,"d",7,"pg",1998,9
"annabessacook","9961",1,1998-09-11,"0:00:00","cw","3",10.5,"g",0.25,1,"d",7,"pg",1998,9
"annabessacook","9961",1,1998-09-11,"0:00:00","cw","3",12.5,"g",0.34,1,"d",7,"pg",1998,9
"annabessacook","9961",1,1998-10-26,"0:00:00","cw","3",0.5,"g",0.01,1,"d",7,"pg",1998,10
"annabessacook","9961",1,1998-10-26,"0:00:00","cw","3",2.5,"g",0.02,1,"d",7,"pg",1998,10
"annabessacook","9961",1,1998-10-26,"0:00:00","cw","3",4.5,"g",0.02,1,"d",7,"pg",1998,10
