"sampleid","midas","lake","station","date","agency","db","profile.max.depth","temp.min","temp.max","temp.mean","temp.sd","temp.se","thermo.depth","temp.epi","temp.hypo","meta.top","meta.bottom","do.min","do.max","do.mean","do.sd","do.se","do.max.depth","year","month"
"9961_1_1975-03-13_ei",9961,"annabessacook",1,1975-03-13,"ei","dep",3,1,4.3,3.275,1.15974135047432,0.410030486671418,0.25,1,3.6,0.25,0.25,2.5,13.5,7.4375,4.12481601321285,1.45834268704483,0,1975,3
"9961_1_1975-06-30_ei",9961,"annabessacook",1,1975-06-30,"ei","dep",4,11,24,17.0111111111111,5.59429272661979,1.8647642422066,1.71560884067412,23.9,13.5666666666667,1.16286349989149,4,0.3,8.9,4.53333333333333,3.70573879273756,1.23524626424585,0.5,1975,6
"9961_1_1975-08-25_ei",9961,"annabessacook",1,1975-08-25,"ei","dep",13,12,21,17.8928571428571,3.87208238264916,1.03485754637403,7.61946515808885,20.9875,13.7666666666667,6.62246895422677,10.3686031911651,0.2,8.8,5.01428571428571,4.30542719096529,1.15067381802091,0,1975,8
"9961_1_1976-03-25_ei",9961,"annabessacook",1,1976-03-25,"ei","dep",11,1,4.5,3.22727272727273,1.06779296597319,0.321951692901254,1.5,1,3.45,1.5,1.5,2.2,13,7.3,4.3058100283222,1.29825057113584,2,1976,3
"9961_1_1977-05-05_cw",9961,"annabessacook",1,1977-05-05,"cw","dep",12,9.2,13.5,10.2692307692308,1.16789312823321,0.32391527370053,0.5,13.5,10,0,1.25701340024669,10.8,11.6,11.2,0.294392028877595,0.0816496580927726,2,1977,5
"9961_1_1977-05-26_cw",9961,"annabessacook",1,1977-05-26,"cw","dep",14,11,20,14.8,3.75023808768,0.968307310526492,4.51989964964359,19.7,12.35,3.50146494277638,6.95980978119031,5,10,7.72666666666667,1.85143445031401,0.478038319510722,5,1977,5
"9961_1_1977-06-10_cw",9961,"annabessacook",1,1977-06-10,"cw","dep",13,11.3,16.7,14.5857142857143,2.42419126652649,0.647892368525122,7.54688401432225,16.575,11.9333333333333,6.716260662283,8.46730113490326,0.3,10.6,7.17142857142857,4.40671316052235,1.17774363203303,0,1977,6
"9961_1_1977-06-23_cw",9961,"annabessacook",1,1977-06-23,"cw","dep",13,11.8,19.5,15.9214285714286,2.86844331179248,0.766623721865047,4.5676137466571,19.08,14.1666666666667,3.09818945347806,6.4450475130026,0.1,11.3,5.82142857142857,4.42496042075799,1.1826204174651,0,1977,6
"9961_1_1977-07-11_cw",9961,"annabessacook",1,1977-07-11,"cw","dep",13,12.8,23.5,17.8214285714286,4.12724131583324,1.10305163974186,5.54312923103337,22.0833333333333,14.625,1.34744871851216,8.36637918543014,0,9,3.8,3.68802636399721,0.985666506247657,1,1977,7
"9961_1_1977-07-21_cw",9961,"annabessacook",1,1977-07-21,"cw","dep",14,12.6,29,18.9466666666667,5.88228170825217,1.51879860625075,2.54103143708747,27.8666666666667,16.7166666666667,0,9.24350241367687,0,13.2,3.62666666666667,5.14121534640354,1.32745609439246,0,1977,7
"9961_1_1977-08-09_cw",9961,"annabessacook",1,1977-08-09,"cw","dep",13,13.4,23.4,18.2571428571429,4.01510882805173,1.07308297179864,7.30338498595847,21.3875,14.0833333333333,4.68978926482947,8.26134763969018,0,7.3,2.14285714285714,3.00172111801374,0.802243713875104,0,1977,8
"9961_1_1977-08-16_cw",9961,"annabessacook",1,1977-08-16,"cw","dep",13,14.2,22.3,19.0571428571429,3.36468407151383,0.899249643595739,7.65181947970845,21.7125,15.5166666666667,4.95083616415738,10.2108431679737,0,8.5,3.47142857142857,4.00930237005211,1.07153113062255,1,1977,8
"9961_1_1977-08-24_cw",9961,"annabessacook",1,1977-08-24,"cw","dep",13,13.9,21,18.3214285714286,2.9480576581953,0.787901550958709,7.96768110204452,20.625,15.25,6.66597102293352,10.5341658300979,0,9.7,4.46428571428571,4.09945721413817,1.09562602621741,0,1977,8
"9961_1_1977-08-31_cw",9961,"annabessacook",1,1977-08-31,"cw","dep",13,13.9,25,19,3.72558720203943,0.995705062470093,2.44678133318036,24.0333333333333,17.6272727272727,0,3.46336367116515,0,9.3,3.5,3.45075242631115,0.92225237898823,1,1977,8
"9961_1_1977-09-12_cw",9961,"annabessacook",1,1977-09-12,"cw","dep",13,14.3,19.2,17.8142857142857,1.92587927685278,0.514712887305076,8.80647884709343,19.1111111111111,15.48,7.86038007254077,10.9461613316085,0,8.2,4.68571428571429,3.64920584466036,0.975291286038004,0,1977,9
"9961_1_1977-09-20_cw",9961,"annabessacook",1,1977-09-20,"cw","dep",12,15.8,17,16.6,0.69282032302755,0.4,11.5,17,15.8,10.7491985984911,12,2.9,7.1,5.63333333333333,2.36924741918891,1.36788563524555,9,1977,9
"9961_1_1977-09-23_cw",9961,"annabessacook",1,1977-09-23,"cw","dep",13,15,15.4,15.1571428571429,0.115786844704368,0.0309453359128103,NA,NA,NA,NA,NA,5.5,10.1,8.30714285714286,1.33212628513983,0.356025725350655,0,1977,9
"9961_1_1977-09-26_cw",9961,"annabessacook",1,1977-09-26,"cw","dep",12,14.5,15,14.8846153846154,0.167561699313784,0.0464732537445945,NA,NA,NA,NA,NA,7.6,10.7,9.46153846153846,1.19689769928933,0.33195969432866,1,1977,9
"9961_1_1977-09-30_cw",9961,"annabessacook",1,1977-09-30,"cw","dep",12,15,15.9,15.3846153846154,0.257701875061584,0.0714736403321352,NA,NA,NA,NA,NA,6.3,10.2,9.06153846153846,1.12660142429822,0.312463015562922,0,1977,9
"9961_1_1977-10-05_cw",9961,"annabessacook",1,1977-10-05,"cw","dep",12,14,15.2,14.7,0.414326763155202,0.114913568411777,8.6558006397359,14.9444444444444,14.15,8.6558006397359,8.6558006397359,6.8,10.2,8.79230769230769,1.06806798976902,0.29622876175338,2,1977,10
"9961_1_1977-10-11_cw",9961,"annabessacook",1,1977-10-11,"cw","dep",12,12.8,13.8,13.0461538461538,0.25038431998092,0.0694441157125684,0.5,13.8,12.9833333333333,0.5,0.5,8.1,10.6,9.78461538461539,0.695037353727786,0.192768678248333,1,1977,10
"9961_1_1977-11-03_cw",9961,"annabessacook",1,1977-11-03,"cw","dep",13,8.8,9.9,9.2,0.370328039909021,0.130930734141595,1,9.9,9.1,1,1,7.6,9.9,9.225,0.951314879522023,0.336340601176843,0,1977,11
"9961_1_1977-12-02_cw",9961,"annabessacook",1,1977-12-02,"cw","dep",12,2.6,3.8,2.88571428571429,0.412976331706129,0.110372567292217,4.91411135625518,3.2,2.65,4.91411135625518,4.91411135625518,11.1,11.5,11.2857142857143,0.151185789203691,0.0404061017820885,6,1977,12
"9961_1_1978-01-03_ei",9961,"annabessacook",1,1978-01-03,"ei","dep",13,0,2.3,1.10714285714286,0.773070089084659,0.206611672094115,1.7249359984693,0,1.29166666666667,1.7249359984693,1.7249359984693,1.8,13.4,9.61428571428571,3.6779712515832,0.982979164416321,0,1978,1
