Lake,Month,Secchi
Anna N,May,4.58
Anna N,June,6.33
Anna S,May,5.13
Anna S,June,5.77
Berry,June,5.36
Buker,May,5.75
Buker,June,3.97
Carlton,June,5.01
Cobb N,May,3.52
Cobb N,June,7.2
Cobb S,May,4.1
Cobb S,June,6.92
Cochnew,May,7.49
Cochnew,June,6.55
Cochnew,July,5.8
Dexter,June,6.3
Horseshoe,May,3.68
Horseshoe,June,4.4
Jamie's,June,4.15
Jimmy,May,4.74
Jimmy,June,3.27
L Cobb,June,4.69
L Cobb,July,3.92
L Purg,May,5
L Purg,June,3.64
Narrows L,May,5.34
Narrows L,June,6.8
Narrows U,May,5.28
Narrows U,June,4.89
Mara N,May,4.19
Mara N,June,5.78
Mara S,May,5.51
Mara S,June,5.96
Pleasant,May,3.42
Pleasant,June,3.07
Pleasant,May,2.5
Pleasant U,June,3.25
Sand,May,6.25
Sand,June,6.54
Torsey,June,6.09
Wilson,May,5.2
Wilson,June,5.05
Woodbury,May,6.34
Woodbury,June,5.8
