"sampID","midas","lake","station","date","time","agency","project","db","secchi","rep","seccbot","scope","surveyors","qa_cert","windvel","winddir","cloudcvr","lat","long","gloeo","comments","dups"
"3814_1_2021-05-20_cw",3814,"cochnewagon",1,2021-05-20,NA,"cw",3,"cwd21",6.52,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",7,6,"0","441356.1","700243.4",NA,NA,"3814_1_2021-05-20_6.52_bu-0773_1"
"3814_1_2021-05-20_cw",3814,"cochnewagon",1,2021-05-20,NA,"cw",3,"cwd21",6.52,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",7,6,"0","441356.1","700243.4",NA,NA,"3814_1_2021-05-20_6.52_de-0023_1"
"5312_2_2021-05-20_ei",5312,"maranacook",2,2021-05-20,NA,"ei",3,"cwd21",3.8,1,"n",4,"dodge, edward,,NA,NA","do-0532",1,6,"0","0","0",NA,NA,"5312_2_2021-05-20_3.8_do-0532_1"
"5254_1_2021-05-21_cw",5254,"pleasant",1,2021-05-21,NA,"cw",3,"cwd21",5.05,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",10,3,"0","440905.7","695244",NA,NA,"5254_1_2021-05-21_5.05_bu-0773_1"
"5254_1_2021-05-21_cw",5254,"pleasant",1,2021-05-21,NA,"cw",3,"cwd21",5,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",10,3,"0","440905.7","695244",NA,NA,"5254_1_2021-05-21_5_de-0023_1"
"5254_3_2021-05-21_cw",5254,"pleasant",3,2021-05-21,NA,"cw",3,"cwd21",4.18,1,"y",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",7,5,"0","440807.6","695317.7",NA,NA,"5254_3_2021-05-21_4.18_de-0023_1"
"5312_2_2021-05-23_ei",5312,"maranacook",2,2021-05-23,NA,"ei",3,"cwd21",4.2,1,"n",4,"dodge, edward,,NA,NA","do-0532",3,8,"0","0","0",NA,NA,"5312_2_2021-05-23_4.2_do-0532_1"
"5236_1_2021-05-24_cw",5236,"cobbossee",1,2021-05-24,NA,"cw",3,"cwd21",5.96,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",6,5,"0","441501.1","695634.1",NA,NA,"5236_1_2021-05-24_5.96_bu-0773_1"
"5236_1_2021-05-24_cw",5236,"cobbossee",1,2021-05-24,NA,"cw",3,"cwd21",6.02,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",6,5,"0","441501.1","695634.1",NA,NA,"5236_1_2021-05-24_6.02_de-0023_1"
"5236_2_2021-05-24_cw",5236,"cobbossee",2,2021-05-24,NA,"cw",3,"cwd21",5.63,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",11,5,"0","441901.7","695257.3",NA,NA,"5236_2_2021-05-24_5.63_de-0023_1"
"5236_2_2021-05-24_cw",5236,"cobbossee",2,2021-05-24,NA,"cw",3,"cwd21",5.64,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",11,5,"0","441901.7","695257.3",NA,NA,"5236_2_2021-05-24_5.64_bu-0773_1"
"3830_1_2021-05-25_cw",3830,"dexter",1,2021-05-25,NA,"cw",3,"cwd21",7.04,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",8,6,"0","441858.8","700154.1",NA,NA,"3830_1_2021-05-25_7.04_bu-0773_1"
"3830_1_2021-05-25_cw",3830,"dexter",1,2021-05-25,NA,"cw",3,"cwd21",6.8,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",8,6,"0","441858.8","700154.1",NA,NA,"3830_1_2021-05-25_6.8_de-0023_1"
"3832_1_2021-05-25_cw",3832,"wilson",1,2021-05-25,NA,"cw",3,"cwd21",6.92,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","bu-0773",11,5,"0","441702.7","700246.6",NA,NA,"3832_1_2021-05-25_6.92_bu-0773_1"
"3832_1_2021-05-25_cw",3832,"wilson",1,2021-05-25,NA,"cw",3,"cwd21",6.84,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",11,5,"0","441702.7","700246.6",NA,NA,"3832_1_2021-05-25_6.84_de-0023_1"
"3828_1_2021-05-26_cw",3828,"berry",1,2021-05-26,NA,"cw",3,"cwd21",6.48,1,"n",4,"burton, ryan,dennis, wendy,NA,NA","de-0023",12,5,"0","44200.6","700119.7",NA,NA,"3828_1_2021-05-26_6.48_de-0023_1"
