"lake","midas","station","date","time","agency","project","surveyor1","surveyor2","surveyor3","surveyor4","windvel","winddir","cloudcvr","secchi","seccbot","scope","rep","qa_cert","gloeo","comments","sampleid","year","month"
"annabessacook","9961","1",1977-09-30,"0:00:00","cw","3","dominie,david","king,wendy","",NA,1,7,"b",1.8,"n","2","1",NA,NA,"","9961_1_1977-09-30_cw",1977,9
"annabessacook","9961","1",1977-11-03,"0:00:00","cw","3","dennis","king,wendy","",NA,0,0,"o",2.6,"n","2","1",NA,NA,"","9961_1_1977-11-03_cw",1977,11
"annabessacook","9961","1",1980-01-21,"0:00:00","cw","3","king,wendy","selser,","",NA,NA,NA,"b",NA,NA,NA,"1",NA,NA,"","9961_1_1980-01-21_cw",1980,1
"annabessacook","9961","1",1975-03-13,"0:00:00","ei","2","dennis,jeff","","",NA,0,NA,"o",3.7,"n","2","1",NA,NA,"","9961_1_1975-03-13_ei",1975,3
"annabessacook","9961","1",1975-04-29,"0:00:00","ei","2","mower,barry","","",NA,0,NA,"o",3,"n","2","1",NA,NA,"","9961_1_1975-04-29_ei",1975,4
"annabessacook","9961","1",1975-05-29,"0:00:00","cw","3","cwd","","",NA,NA,NA,NA,4.1,"n","2","1",NA,NA,"","9961_1_1975-05-29_cw",1975,5
"annabessacook","9961","1",1975-06-19,"0:00:00","cw","3","cwd","","",NA,NA,NA,NA,3.7,"n","2","1",NA,NA,"","9961_1_1975-06-19_cw",1975,6
"annabessacook","9961","1",1975-06-30,"0:00:00","ei","2","mower,barry","","",NA,5,2,"b",4.8,"n","2","1",NA,NA,"","9961_1_1975-06-30_ei",1975,6
"annabessacook","9961","1",1975-07-02,"0:00:00","cw","3","cwd","","",NA,NA,NA,NA,4.3,"n","2","1",NA,NA,"","9961_1_1975-07-02_cw",1975,7
"annabessacook","9961","1",1975-07-04,"0:00:00","cw","3","cwd","","",NA,NA,NA,NA,4.6,"n","2","1",NA,NA,"","9961_1_1975-07-04_cw",1975,7
"annabessacook","9961","1",1975-07-08,"0:00:00","cw","3","cwd","","",NA,NA,NA,NA,4.1,"n","2","1",NA,NA,"","9961_1_1975-07-08_cw",1975,7
"annabessacook","9961","1",1975-07-15,"0:00:00","cw","3","cwd","","",NA,NA,NA,NA,2.1,"n","2","1",NA,NA,"","9961_1_1975-07-15_cw",1975,7
"annabessacook","9961","1",1975-07-17,"0:00:00","cw","3","cwd","","",NA,NA,NA,NA,2.1,"n","2","1",NA,NA,"","9961_1_1975-07-17_cw",1975,7
"annabessacook","9961","1",1975-07-21,"0:00:00","cw","3","cwd","","",NA,NA,NA,NA,1.8,"n","2","1",NA,NA,"","9961_1_1975-07-21_cw",1975,7
"annabessacook","9961","1",1975-07-23,"0:00:00","cw","3","cwd","","",NA,NA,NA,NA,1.7,"n","2","1",NA,NA,"","9961_1_1975-07-23_cw",1975,7
"annabessacook","9961","1",1975-07-28,"0:00:00","cw","3","cwd","","",NA,NA,NA,NA,1.7,"n","2","1",NA,NA,"","9961_1_1975-07-28_cw",1975,7
"annabessacook","9961","1",1975-08-05,"0:00:00","cw","3","cwd","","",NA,NA,NA,NA,1.4,"n","2","1",NA,NA,"","9961_1_1975-08-05_cw",1975,8
"annabessacook","9961","1",1975-08-12,"0:00:00","cw","3","cwd","","",NA,NA,NA,NA,2.4,"n","2",NA,NA,NA,"","9961_1_1975-08-12_cw",1975,8
"annabessacook","9961","1",1975-08-12,"0:00:00","cw","3","moran","","",NA,3,NA,"b",2.4,"n","2",NA,NA,NA,"","9961_1_1975-08-12_cw",1975,8
"annabessacook","9961","1",1975-08-20,"0:00:00","cw","3","cwd","","",NA,NA,NA,NA,2.6,"n","2","1",NA,NA,"","9961_1_1975-08-20_cw",1975,8
"annabessacook","9961","1",1975-08-25,"0:00:00","ei","2","mower,barry","","",NA,3,4,"o",2,"n","2","1",NA,NA,"","9961_1_1975-08-25_ei",1975,8
"annabessacook","9961","1",1975-09-05,"0:00:00","cw","3","cwd","","",NA,NA,NA,NA,1.5,"n","2","1",NA,NA,"","9961_1_1975-09-05_cw",1975,9
"annabessacook","9961","1",1975-09-22,"0:00:00","cw","3","cwd","","",NA,NA,NA,NA,2.7,"n","2","1",NA,NA,"","9961_1_1975-09-22_cw",1975,9
"annabessacook","9961","1",1976-03-25,"0:00:00","ei","2","scott,matthew","","",NA,5,5,"o",1.6,"n","2",NA,NA,NA,"","9961_1_1976-03-25_ei",1976,3
"annabessacook","9961","1",1976-03-25,"0:00:00","ei","2","mower,barry","","",NA,5,5,"o",1.6,"n","2",NA,NA,NA,"","9961_1_1976-03-25_ei",1976,3
"annabessacook","9961","1",1976-04-21,"0:00:00","cw","3","moran","","",NA,3,3,"o",4.2,"n","2","1",NA,NA,"","9961_1_1976-04-21_cw",1976,4
"annabessacook","9961","1",1976-05-17,"0:00:00","cw","3","leach,robert","","",NA,10,2,"o",3.1,"n","2","1",NA,NA,"","9961_1_1976-05-17_cw",1976,5
"annabessacook","9961","1",1976-06-10,"0:00:00","cw","3","crane,j e","","",NA,4,6,"b",3.1,"n","2","1",NA,NA,"","9961_1_1976-06-10_cw",1976,6
"annabessacook","9961","1",1976-06-24,"0:00:00","cw","3","crane,j e","","",NA,6,6,"c",4.3,"n","2","1",NA,NA,"","9961_1_1976-06-24_cw",1976,6
