"midas","lake","station","date","agency","depth","tp.ppm","type","r","year","month","sampleid"
"9961","annabessacook",1,2021-05-27,"cw",9,0.023,"c",1,2021,5,"9961_1_2021-05-27_cw"
"9961","annabessacook",2,2021-05-27,"cw",5,0.016,"c",1,2021,5,"9961_2_2021-05-27_cw"
"9961","annabessacook",1,2021-06-23,"cw",8,0.018,"g",1,2021,6,"9961_1_2021-06-23_cw"
"9961","annabessacook",1,2021-06-23,"cw",12.3,0.087,"g",1,2021,6,"9961_1_2021-06-23_cw"
"9961","annabessacook",2,2021-06-23,"cw",5,0.021,"c",1,2021,6,"9961_2_2021-06-23_cw"
"9961","annabessacook",1,2021-06-23,"cw",6,0.016,"c",1,2021,6,"9961_1_2021-06-23_cw"
"9961","annabessacook",1,2021-07-27,"cw",5.5,0.015,"c",1,2021,7,"9961_1_2021-07-27_cw"
"9961","annabessacook",1,2021-07-27,"cw",8,0.032,"g",1,2021,7,"9961_1_2021-07-27_cw"
"9961","annabessacook",1,2021-07-27,"cw",10,0.077,"g",1,2021,7,"9961_1_2021-07-27_cw"
"9961","annabessacook",2,2021-07-27,"cw",5,0.016,"c",1,2021,7,"9961_2_2021-07-27_cw"
"9961","annabessacook",1,2021-07-27,"cw",12.4,0.25,"g",1,2021,7,"9961_1_2021-07-27_cw"
"9961","annabessacook",1,2021-08-25,"cw",2.5,0.02,"g",2,2021,8,"9961_1_2021-08-25_cw"
"9961","annabessacook",1,2021-08-25,"cw",10.5,0.23,"g",1,2021,8,"9961_1_2021-08-25_cw"
"9961","annabessacook",2,2021-08-25,"cw",4.5,0.021,"c",1,2021,8,"9961_2_2021-08-25_cw"
"9961","annabessacook",1,2021-08-25,"cw",8.5,0.033,"g",1,2021,8,"9961_1_2021-08-25_cw"
"9961","annabessacook",1,2021-08-25,"cw",12.4,0.39,"g",1,2021,8,"9961_1_2021-08-25_cw"
"9961","annabessacook",1,2021-08-25,"cw",4.5,0.024,"g",1,2021,8,"9961_1_2021-08-25_cw"
