"midas","lake","basin","date","agency","tp_ppm","depth","r","type","year","month","sampleid"
"98","narrows upper",1,1998-07-24,"cw",0.011,5,1,"c",1998,7,"98_1_1998-07-24"
"98","narrows upper",1,2000-05-22,"cw",0.01,5,1,"c",2000,5,"98_1_2000-05-22"
"98","narrows upper",1,2000-06-23,"cw",0.01,6,1,"c",2000,6,"98_1_2000-06-23"
"98","narrows upper",1,2000-07-26,"cw",0.014,6,1,"c",2000,7,"98_1_2000-07-26"
"98","narrows upper",1,2000-08-29,"cw",0.008,7,1,"c",2000,8,"98_1_2000-08-29"
"98","narrows upper",1,2000-09-25,"cw",0.007,6,1,"c",2000,9,"98_1_2000-09-25"
"98","narrows upper",1,2000-10-23,"cw",0.008,10,1,"c",2000,10,"98_1_2000-10-23"
"98","narrows upper",1,2001-09-11,"cw",0.008,7,1,"c",2001,9,"98_1_2001-09-11"
"98","narrows upper",1,2001-09-11,"cw",0.009,11,1,"g",2001,9,"98_1_2001-09-11"
"98","narrows upper",1,2001-09-11,"cw",0.034,17,3,"g",2001,9,"98_1_2001-09-11"
"98","narrows upper",1,2002-04-24,"cw",0.009,11,1,"g",2002,4,"98_1_2002-04-24"
"98","narrows upper",1,2002-04-24,"cw",0.01,7,1,"g",2002,4,"98_1_2002-04-24"
"98","narrows upper",1,2002-04-24,"cw",0.01,9,1,"g",2002,4,"98_1_2002-04-24"
"98","narrows upper",1,2002-04-24,"cw",0.01,15,1,"g",2002,4,"98_1_2002-04-24"
"98","narrows upper",1,2002-04-24,"cw",0.01,18,1,"g",2002,4,"98_1_2002-04-24"
"98","narrows upper",1,2002-04-24,"cw",0.012,3,1,"g",2002,4,"98_1_2002-04-24"
"98","narrows upper",1,2002-04-24,"cw",0.012,5,1,"g",2002,4,"98_1_2002-04-24"
"98","narrows upper",1,2002-04-24,"cw",0.013,5,1,"c",2002,4,"98_1_2002-04-24"
"98","narrows upper",1,2002-04-24,"cw",0.015,5,2,"g",2002,4,"98_1_2002-04-24"
"98","narrows upper",1,2002-04-24,"cw",0.016,1,1,"g",2002,4,"98_1_2002-04-24"
"98","narrows upper",1,2002-05-17,"cw",0.007,5,1,"g",2002,5,"98_1_2002-05-17"
"98","narrows upper",1,2002-05-17,"cw",0.008,3,1,"g",2002,5,"98_1_2002-05-17"
"98","narrows upper",1,2002-05-17,"cw",0.009,7,2,"g",2002,5,"98_1_2002-05-17"
"98","narrows upper",1,2002-05-17,"cw",0.009,10,1,"c",2002,5,"98_1_2002-05-17"
"98","narrows upper",1,2002-05-17,"cw",0.009,18,1,"g",2002,5,"98_1_2002-05-17"
"98","narrows upper",1,2002-05-17,"cw",0.01,1,1,"g",2002,5,"98_1_2002-05-17"
"98","narrows upper",1,2002-05-17,"cw",0.011,7,1,"g",2002,5,"98_1_2002-05-17"
"98","narrows upper",1,2002-05-17,"cw",0.011,9,1,"g",2002,5,"98_1_2002-05-17"
"98","narrows upper",1,2002-05-17,"cw",0.011,11,1,"g",2002,5,"98_1_2002-05-17"
"98","narrows upper",1,2002-05-17,"cw",0.011,15,1,"g",2002,5,"98_1_2002-05-17"
"98","narrows upper",1,2002-06-14,"cw",0.008,1,1,"g",2002,6,"98_1_2002-06-14"
